TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,Match_text.stopped,syncing_text.started,text_0.started,Transparent.started,Loading_25.started,text_25.started,text_0.stopped,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,blank.started,blank.stopped,Left_Experience.stopped,Right_Experience.stopped,Left_Price.stopped,Right_Price.stopped,responses.stopped,responses.keys,responses.rt,Resume_keys.started,Resume_Text.started,Resume_keys.keys,Resume_keys.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,10.513553999830037,10.513553999830037,space,0.3575630830600858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h26.13.346,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.881988582899794,10.881988582899794,space,0.35648079216480255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h26.13.346,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,11.272991249803454,14.272176832892,14.272176832892,14.272176832892,14.272176832892,15.505545624997467,15.505545624997467,15.5098998749163,16.757196249905974,16.757196249905974,16.757196249905974,16.757196249905974,17.99802237492986,17.99802237492986,18.002891749842092,18.002891749842092,19.25623208284378,19.25623208284378,19.25623208284378,19.25623208284378,20.495702874846756,20.495702874846756,20.54118416691199,20.54118416691199,20.54118416691199,20.54118416691199,space,1.8694024169817567,22.673448332818225,22.673448332818225,22.673448332818225,25.4430500830058,30.438149416819215,30.438149416819215,33.42743749986403,33.42743749986403,space,2.641282540978864,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h26.13.346,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,36.27602029195987,36.27602029195987,36.27602029195987,39.128565416904166,44.12138937483542,44.12138937483542,47.121388542000204,47.121388542000204,space,0.35692437505349517,3,None,5,None,44.12138937483542,47.121388542000204,47.121388542000204,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h26.13.346,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,47.661760166985914,47.661760166985914,47.661760166985914,50.511125082848594,55.50410333299078,55.50410333299078,58.51133149978705,58.51133149978705,space,0.40125183295458555,3,None,5,None,55.50410333299078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h26.13.346,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,59.065440124832094,59.065440124832094,59.065440124832094,61.94014224992134,66.93511108285747,66.93511108285747,69.92675549979322,69.92675549979322,space,5.982396707870066,3,None,5,None,,69.92675549979322,69.92675549979322,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h26.13.346,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,76.09147783298977,76.09147783298977,76.09147783298977,78.94843779178336,83.95461295801215,83.95461295801215,,,None,,,,,,,,,86.9597322079353,86.9597322079353,space,2.0333299171179533,89.00974037498236,89.00974037498236,space,0.623280166881159,89.68239429197274,89.68239429197274,89.68239429197274,89.68239429197274,89.68239429197274,89.68239429197274,91.68120404193178,99.6854039169848,99.6854039169848,99.6854039169848,99.6854039169848,99.6854039169848,1,0.8118219999596477,,,,,101,001,2023-12-22_21h26.13.346,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Watching a new episode of a television show,Having a picnic with family,0.02,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6854039169848,99.6854039169848,99.6854039169848,99.6854039169848,99.6854039169848,99.6854039169848,101.6813057498075,109.6852196669206,109.6852196669206,109.6852196669206,109.6852196669206,109.6852196669206,2,4.488740042084828,,,,,101,001,2023-12-22_21h26.13.346,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,"Painting your bedroom
a new color",Having a romantic dinner with a significant other,0.03,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.6852196669206,109.6852196669206,109.6852196669206,109.6852196669206,109.6852196669206,109.6852196669206,111.67738054180518,119.68233774998225,119.68233774998225,119.68233774998225,119.68233774998225,119.68233774998225,1,0.7863425000105053,,,,,101,001,2023-12-22_21h26.13.346,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Playing with a pet,Studying abroad with friends,0.04,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.68233774998225,119.68233774998225,119.68233774998225,119.68233774998225,119.68233774998225,119.68233774998225,121.67695858282968,129.6980030417908,129.6980030417908,129.6980030417908,129.6980030417908,129.6980030417908,1,1.2815270421560854,,,,,101,001,2023-12-22_21h26.13.346,RejectionTask_OneLoop,2022.2.1,None,
