TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,Match_text.stopped,syncing_text.started,text_0.started,Transparent.started,Loading_25.started,text_25.started,text_0.stopped,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,responses.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9.572905000066385,9.572905000066385,space,0.5018466669134796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h44.07.429,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.089649042114615,10.089649042114615,space,0.17636708309873939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h44.07.429,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,10.29911404196173,13.30498379189521,13.30498379189521,13.30498379189521,13.30498379189521,14.536531375022605,14.536531375022605,14.56230741692707,15.781834792112932,15.781834792112932,15.781834792112932,15.781834792112932,17.019095208030194,17.019095208030194,17.03735408303328,17.03735408303328,18.281944999936968,18.281944999936968,18.281944999936968,18.281944999936968,19.519446749938652,19.519446749938652,19.575289000058547,19.575289000058547,19.575289000058547,19.575289000058547,space,0.4585008330177516,20.277613874990493,20.277613874990493,20.277613874990493,23.06232695793733,28.057552417041734,28.057552417041734,31.066956042079255,31.066956042079255,space,0.42383362585678697,3,None,5,None,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h44.07.429,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,31.696512333117425,31.696512333117425,31.696512333117425,34.56896112510003,39.55718233296648,39.55718233296648,42.56694783293642,42.56694783293642,space,1.02028658404015,3,None,5,None,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h44.07.429,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,43.780933832982555,43.780933832982555,43.780933832982555,46.631629874929786,51.63799849990755,51.63799849990755,54.6419478750322,54.6419478750322,space,0.8558556258212775,3,None,5,None,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h44.07.429,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,55.66256679198705,55.66256679198705,55.66256679198705,58.55280016711913,63.55273237498477,63.55273237498477,66.54783875006251,66.54783875006251,space,0.7180256671272218,3,None,5,None,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h44.07.429,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,67.45645741699263,67.45645741699263,67.45645741699263,70.30067800008692,75.2958645420149,75.2958645420149,,,None,,,,,,75.2958645420149,78.29977554199286,78.29977554199286,78.29977554199286,78.29977554199286,space,0.83472212520428,79.1626722079236,79.1626722079236,space,0.5476590420585126,79.83312154212035,79.83312154212035,79.83312154212035,79.83312154212035,79.83312154212035,1,0.7134294589050114,101,001,2023-12-22_16h44.07.429,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Watching a new episode of a television show,Having a picnic with family,0.02,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.57429333310574,80.57429333310574,80.57429333310574,80.57429333310574,80.57429333310574,2,0.8254253338091075,101,001,2023-12-22_16h44.07.429,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,"Painting your bedroom
a new color",Having a romantic dinner with a significant other,0.03,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.42558187502436,81.42558187502436,81.42558187502436,81.42558187502436,81.42558187502436,1,0.4931539169047028,101,001,2023-12-22_16h44.07.429,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Playing with a pet,Studying abroad with friends,0.04,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.93918549991213,81.93918549991213,81.93918549991213,81.93918549991213,81.93918549991213,2,0.4760842081159353,101,001,2023-12-22_16h44.07.429,RejectionTask_OneLoop,2022.2.1,None,
