TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_75.started,text_75.started,Loading_50.stopped,text_50.stopped,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,syncing_text.stopped,Transparent.stopped,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,10.176335917087272,10.176335917087272,space,1.106744958087802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_14h03.15.720,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,11.300246292026713,11.300246292026713,space,0.6244820000138134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_14h03.15.720,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,0,0,0,0,,,,,,,,,,,,,11.959593083010986,14.94681604206562,14.94681604206562,14.94681604206562,14.951921708183363,16.199772000079975,16.199772000079975,16.199772000079975,17.46572370803915,17.46572370803915,17.46572370803915,17.46572370803915,18.69690529210493,18.69690529210493,18.708129292121157,18.708129292121157,19.93400016706437,19.93400016706437,19.94136995798908,19.94136995798908,21.208011333132163,21.208011333132163,21.208011333132163,21.208011333132163,21.208011333132163,21.208011333132163,21.208011333132163,21.208011333132163,space,0.4908177498728037,21.94749058317393,21.94749058317393,21.94749058317393,24.736993042053655,29.7323783331085,29.7323783331085,32.71796220797114,32.71796220797114,space,0.9377711249981076,3,None,5,None,,,,,,,,,,,101,001,2023-12-22_14h03.15.720,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,33.86344479210675,33.86344479210675,33.86344479210675,36.70944979204796,41.70521845808253,41.70521845808253,44.70399975008331,44.70399975008331,space,0.6934102911036462,3,None,5,None,,,,,,,,,,,101,001,2023-12-22_14h03.15.720,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,45.5956822920125,45.5956822920125,45.5956822920125,48.44303345796652,53.44863304216415,53.44863304216415,56.44266629219055,56.44266629219055,space,1.604003833141178,3,None,5,None,,,,,,,,,,,101,001,2023-12-22_14h03.15.720,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,58.205064667155966,58.205064667155966,58.205064667155966,61.08334012515843,66.07612508302554,66.07612508302554,69.08317170804366,69.08317170804366,space,0.4488210831768811,3,None,5,None,,,,,,,,,,,101,001,2023-12-22_14h03.15.720,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,69.71498104208149,69.71498104208149,69.71498104208149,72.56571720796637,77.56250441703014,77.56250441703014,,,None,,,,,,80.55000800010748,80.55000800010748,80.55000800010748,80.55000800010748,space,15.83695658389479,96.39741800003685,96.39741800003685,space,5.656664666952565,,,,,,,
