TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,syncing_text.stopped,Transparent.stopped,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,waiting_text.stopped,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,11.361382208997384,11.361382208997384,space,0.674871584167704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_15h08.20.674,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,12.053178500151262,12.053178500151262,space,0.35214241594076157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_15h08.20.674,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,0,0,0,0,,,,,,,,,,,,,12.43818312510848,15.428599084028974,15.428599084028974,15.428599084028974,15.432884542038664,16.678956791991368,16.678956791991368,16.678956791991368,17.924214084167033,17.924214084167033,17.924214084167033,17.924214084167033,19.1741937501356,19.1741937501356,19.1741937501356,19.1741937501356,20.411149084102362,20.411149084102362,20.425141250016168,20.425141250016168,21.69179933401756,21.69179933401756,21.69179933401756,21.69179933401756,21.69179933401756,21.69179933401756,21.69179933401756,21.69179933401756,space,0.7057956252247095,22.65233025001362,22.65233025001362,22.65233025001362,25.416518958983943,30.42245020903647,30.42245020903647,30.42245020903647,33.41685725003481,33.41685725003481,space,0.8795362079981714,3,None,5,None,,,,,,,,,,,101,001,2023-12-22_15h08.20.674,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,34.49296929198317,34.49296929198317,34.49296929198317,37.35301504214294,,42.35885737510398,42.35885737510398,45.3452863751445,45.3452863751445,space,0.5634879588615149,3,None,5,None,,,,,,,,,,,101,001,2023-12-22_15h08.20.674,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,46.10804233397357,46.10804233397357,46.10804233397357,48.957338334061205,,53.964904417051,53.964904417051,56.9588815420866,56.9588815420866,space,1.293590374989435,3,None,5,None,,,,,,,,,,,101,001,2023-12-22_15h08.20.674,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,58.40906754205935,58.40906754205935,58.40906754205935,61.27913191705011,66.27683383412659,66.27683383412659,66.27683383412659,69.27916204207577,69.27916204207577,space,2.8035554580856115,3,None,5,None,69.27916204207577,69.27916204207577,,,,,,,,,101,001,2023-12-22_15h08.20.674,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,72.26834025001153,72.26834025001153,72.26834025001153,75.11230037501082,80.10795837501064,80.10795837501064,80.10795837501064,,,None,,,,,,83.10436562495306,83.10436562495306,83.10436562495306,83.10436562495306,space,1.8060711671132594,84.93401141697541,84.93401141697541,space,0.7414557919837534,,,,,,,
