TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,syncing_text.stopped,Transparent.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,responses.rt,Resume_keys.started,Resume_Text.started,Resume_keys.keys,Resume_keys.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9.908961792010814,9.908961792010814,space,0.7534137079492211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.678004166809842,10.678004166809842,space,0.1617814579512924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,10.871582416817546,13.863246666966006,13.863246666966006,13.863246666966006,13.869529000017792,15.111884374869987,15.111884374869987,15.111884374869987,16.36246154201217,16.36246154201217,16.36246154201217,16.36246154201217,17.601852166932076,17.601852166932076,17.601852166932076,17.601852166932076,18.845796667039394,18.845796667039394,18.85232620802708,18.85232620802708,20.095738916890696,20.095738916890696,20.12291904189624,20.12291904189624,20.12291904189624,20.12291904189624,20.12291904189624,20.12291904189624,space,5.430353167001158,25.805184707976878,25.805184707976878,25.805184707976878,28.575720624998212,33.57557133282535,33.57557133282535,36.586840874981135,36.586840874981135,space,3.2124411249533296,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,40.005573166999966,40.005573166999966,40.005573166999966,42.86176333297044,47.86507024988532,47.86507024988532,50.85907049989328,50.85907049989328,space,2.653404917102307,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,53.69881104188971,53.69881104188971,53.69881104188971,56.54749420797452,61.55329145793803,61.55329145793803,64.54140824987553,64.54140824987553,space,7.14588616695255,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,71.84350391686894,71.84350391686894,71.84350391686894,74.71195004181936,79.70735799986869,79.70735799986869,82.71190958283842,82.71190958283842,space,57.97867929190397,3,None,5,None,79.70735799986869,82.71190958283842,82.71190958283842,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,140.86883099982515,140.86883099982515,140.86883099982515,143.72065820801072,148.73157824994996,148.73157824994996,,,None,,,,,,,,,151.71834245789796,151.71834245789796,space,146.9844197500497,298.7154684169218,298.7154684169218,space,0.4752902081236243,299.3430687498767,299.3430687498767,299.3430687498767,299.3430687498767,299.3430687498767,1,0.5946355829946697,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Watching a new episode of a television show,Having a picnic with family,0.02,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.2323488330003,309.2323488330003,309.2323488330003,309.2323488330003,309.2323488330003,None,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,"Painting your bedroom
a new color",Having a romantic dinner with a significant other,0.03,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.228795416886,319.228795416886,319.228795416886,319.228795416886,319.228795416886,None,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Playing with a pet,Studying abroad with friends,0.04,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.2331152500119,329.2331152500119,329.2331152500119,329.2331152500119,329.2331152500119,None,,,,,,101,001,2023-12-22_21h34.11.185,RejectionTask_OneLoop,2022.2.1,78.23721109553603,
