TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,social_left,Left_Exp,Right_Exp,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,syncing_text.stopped,Transparent.stopped,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,Left_Experience.stopped,Right_Experience.stopped,Left_Price.stopped,Right_Price.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,10.485033832956105,10.485033832956105,space,0.5248957080766559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_15h42.17.954,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.030490749981254,11.030490749981254,space,0.2376217911951244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_15h42.17.954,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11.303525124909356,14.297689624829218,14.297689624829218,14.297689624829218,14.304563290905207,15.53776479093358,15.53776479093358,15.53776479093358,16.779567040968686,16.779567040968686,16.78486529085785,16.78486529085785,18.034378957934678,18.034378957934678,18.034378957934678,18.034378957934678,19.279901665868238,19.279901665868238,19.28882841579616,19.28882841579616,20.55702883284539,20.55702883284539,20.55702883284539,20.55702883284539,20.55702883284539,20.55702883284539,20.55702883284539,20.55702883284539,space,0.9769727920647711,21.788837832864374,21.788837832864374,21.788837832864374,24.568039207952097,29.569558165967464,29.569558165967464,32.5682894999627,32.5682894999627,space,0.620817458955571,3,None,5,None,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_15h42.17.954,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,33.409641165984794,33.409641165984794,33.409641165984794,36.26405533286743,41.264248915947974,41.264248915947974,44.254885082831606,44.254885082831606,space,0.4096605421509594,3,None,5,None,44.254885082831606,44.254885082831606,,,,,,,,,,,,,,,,,,101,001,2023-12-22_15h42.17.954,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,44.8580597077962,44.8580597077962,44.8580597077962,47.705117124831304,52.70249712490477,52.70249712490477,55.70452537480742,55.70452537480742,space,0.5425952088553458,3,None,5,None,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_15h42.17.954,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,56.40451337490231,56.40451337490231,56.40451337490231,59.28249845793471,64.28246029093862,64.28246029093862,67.27656795782968,67.27656795782968,space,0.6217166669666767,3,None,5,None,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_15h42.17.954,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,68.07725533284247,68.07725533284247,68.07725533284247,70.93066008295864,75.94220366585068,75.94220366585068,,,None,,,,,,,,78.94069024990313,78.94069024990313,space,0.46821412490680814,79.42243949999101,79.42243949999101,space,0.4494137919973582,79.99239879101515,79.99239879101515,79.99239879101515,79.99239879101515,79.99239879101515,89.98391349986196,89.98391349986196,89.98391349986196,89.98391349986196,,,,,,,
