TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,thisRow.t,notes,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,syncing_text.stopped,Transparent.stopped,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,blank.started,blank.stopped,Left_Experience.stopped,Right_Experience.stopped,Left_Price.stopped,Right_Price.stopped,responses.stopped,responses.keys,responses.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.643608458107337,21.643608458107337,space,0.7444505831226707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_16h33.23.147,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.405849125003442,22.405849125003442,space,0.6141729999799281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_16h33.23.147,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,23.05844104103744,26.053942708065733,26.053942708065733,26.053942708065733,26.059213625034317,27.302611916093156,27.302611916093156,27.302611916093156,28.545581333106384,28.545581333106384,28.545581333106384,28.545581333106384,29.792781624943018,29.792781624943018,29.801135750021785,29.801135750021785,31.046838040929288,31.046838040929288,31.046838040929288,31.046838040929288,32.32373691606335,32.32373691606335,32.32373691606335,32.32373691606335,32.32373691606335,32.32373691606335,32.32373691606335,32.32373691606335,space,0.7574867499060929,33.31953362491913,33.31953362491913,33.31953362491913,36.1081880829297,41.118622875073925,41.118622875073925,44.11089191609062,44.11089191609062,space,0.7468668748624623,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_16h33.23.147,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,45.07100445800461,45.07100445800461,45.07100445800461,47.93405120796524,52.937773040961474,52.937773040961474,55.92869445797987,55.92869445797987,space,0.8959414579439908,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_16h33.23.147,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,57.01437562494539,57.01437562494539,57.01437562494539,59.86356050008908,64.86593887512572,64.86593887512572,67.86227908311412,67.86227908311412,space,10.610639542108402,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_16h33.23.147,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,78.63962675002404,78.63962675002404,78.63962675002404,81.50885424995795,86.50443308311515,86.50443308311515,89.50623599998653,89.50623599998653,space,1.7029625410214067,3,None,5,None,86.50443308311515,89.50623599998653,89.50623599998653,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_16h33.23.147,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,4,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,91.40072491602041,91.40072491602041,91.40072491602041,94.2516852079425,99.25532083306462,99.25532083306462,,,None,,,,,,,,,102.24640649999492,102.24640649999492,space,37.36457229196094,139.62554770801216,139.62554770801216,space,1.560706916032359,141.2456637499854,141.2456637499854,141.2456637499854,141.2456637499854,141.2456637499854,141.2456637499854,143.2349002910778,151.25578579097055,151.25578579097055,151.25578579097055,151.25578579097055,151.25578579097055,1,0.8986147500108927,101,001,2024-01-03_16h33.23.147,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Watching a new episode of a television show,Having a picnic with family,5,0.02,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.25578579097055,151.25578579097055,151.25578579097055,151.25578579097055,151.25578579097055,151.25578579097055,153.25089624989778,161.25475820805877,161.25475820805877,161.25475820805877,161.25475820805877,161.25475820805877,1,1.278085040859878,101,001,2024-01-03_16h33.23.147,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.25475820805877,161.25475820805877,161.25475820805877,161.25475820805877,161.25475820805877,161.25475820805877,,,,,,,,,,,,,,,
