TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,social_left,Left_Exp,Right_Exp,ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,Loading_25.started,text_25.started,text_0.stopped,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,responses.rt,ITI_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.599462416023016,11.599462416023016,space,2.1918870829977095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h38.56.265,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.801449165912345,13.801449165912345,space,1.769932207884267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h38.56.265,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.596384166041389,18.608328874921426,18.608328874921426,18.608328874921426,18.61291916598566,19.831410458078608,19.831410458078608,19.856263540918007,21.071557708084583,21.071557708084583,21.08492958289571,21.08492958289571,22.33491670805961,22.33491670805961,22.33491670805961,22.33491670805961,23.571868875063956,23.571868875063956,23.584953540936112,23.584953540936112,24.82159262499772,24.82159262499772,24.885071125114337,24.885071125114337,24.885071125114337,24.885071125114337,space,1.5853127499576658,26.797047999920323,26.797047999920323,26.797047999920323,29.503380165901035,34.51925741601735,34.51925741601735,37.503592166118324,37.503592166118324,space,1.4055894170887768,3,None,5,None,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h38.56.265,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,39.15196124999784,39.15196124999784,39.15196124999784,41.98103562509641,46.983597750077024,46.983597750077024,49.96802645805292,49.96802645805292,space,0.8845834580715746,3,None,5,None,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h38.56.265,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,51.03615300008096,51.03615300008096,51.03615300008096,53.876026374986395,58.983139582909644,58.983139582909644,61.8771158750169,61.8771158750169,space,1.9072099160403013,3,None,5,None,58.983139582909644,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h38.56.265,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,63.95143908308819,63.95143908308819,63.95143908308819,66.83595645800233,71.82165070809424,71.82165070809424,74.8123489159625,74.8123489159625,space,0.24720720807090402,3,None,5,None,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h38.56.265,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,75.24880454107188,75.24880454107188,75.24880454107188,78.10331362509169,83.10332708293572,83.10332708293572,,,None,,,,,,83.10332708293572,86.09620554093271,86.09620554093271,space,0.72141975001432,86.83706408296712,86.83706408296712,space,0.5811937497928739,87.47346066590399,87.47346066590399,87.47346066590399,87.47346066590399,87.47346066590399,1,0.6962654588278383,97.42176683293656,,,,,,,
