TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,Match_text.stopped,syncing_text.started,text_0.started,Transparent.started,Loading_25.started,text_25.started,text_0.stopped,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,syncing_text.stopped,Transparent.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,responses.rt,ITI_text.started,ITI_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.581662375014275,10.581662375014275,space,1.4884484170470387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h52.20.504,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.092938916990533,12.092938916990533,space,1.086610124912113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h52.20.504,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,13.206940416945145,16.204554375028238,16.204554375028238,16.204554375028238,16.204554375028238,17.436520874965936,17.436520874965936,17.454849292058498,18.673822291893885,18.673822291893885,18.694040125003085,18.694040125003085,19.943727917037904,19.943727917037904,19.943727917037904,19.943727917037904,21.19295091694221,21.19295091694221,21.19295091694221,21.19295091694221,22.43851995910518,22.43851995910518,22.46279300004244,22.46279300004244,22.46279300004244,22.46279300004244,22.46279300004244,22.46279300004244,space,3.4266745829954743,26.138650625012815,26.138650625012815,26.138650625012815,28.90170695912093,33.913357249926776,33.913357249926776,36.90729654207826,36.90729654207826,space,2.9815149588976055,3,None,5,None,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h52.20.504,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,40.10776191693731,40.10776191693731,40.10776191693731,42.95877508400008,47.95087549998425,47.95087549998425,50.944789374945685,50.944789374945685,space,1.66948258318007,3,None,5,None,47.95087549998425,50.944789374945685,50.944789374945685,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h52.20.504,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,52.805167709011585,52.805167709011585,52.805167709011585,55.65457533393055,60.66718745906837,60.66718745906837,63.65295504196547,63.65295504196547,space,1.1610151659697294,3,None,5,None,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h52.20.504,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,65.03015149990097,65.03015149990097,65.03015149990097,67.84228283399716,72.84007279202342,72.84007279202342,75.83502933406271,75.83502933406271,space,4.090914333006367,3,None,5,None,72.84007279202342,75.83502933406271,75.83502933406271,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h52.20.504,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,4,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,80.12395699997433,80.12395699997433,80.12395699997433,82.9899371669162,87.97869820892811,87.97869820892811,,,None,,,,,,,,,90.97090370906517,90.97090370906517,space,3.0624108749907464,94.04669695906341,94.04669695906341,space,1.2166959170717746,95.30820516706444,95.30820516706444,95.30820516706444,95.30820516706444,95.30820516706444,1,0.8775380000006407,96.20491950004362,100.20403870893642,101,001,2024-01-03_21h52.20.504,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.20403870893642,100.20403870893642,100.20403870893642,100.20403870893642,100.20403870893642,2,0.5593220840673894,100.781454292126,,,,,,,,
