TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,syncing_text.stopped,Transparent.stopped,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,responses.rt,ITI_text.started,ITI_text.stopped,Resume_keys.started,Resume_Text.started,Resume_keys.keys,Resume_keys.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.476203375030309,9.476203375030309,space,1.0773887089453638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h11.37.562,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.568542583147064,10.568542583147064,space,0.29469350120052695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h11.37.562,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,10.895293375011533,13.882658583112061,13.882658583112061,13.882658583112061,13.887887958204374,15.128241625148803,15.128241625148803,15.128241625148803,16.37029245821759,16.37029245821759,16.383406166220084,16.383406166220084,17.627563666086644,17.627563666086644,17.627563666086644,17.627563666086644,18.875142625067383,18.875142625067383,18.88340845820494,18.88340845820494,20.142644041217864,20.142644041217864,20.142644041217864,20.142644041217864,20.142644041217864,20.142644041217864,20.142644041217864,20.142644041217864,space,1.0744994168635458,21.469968000194058,21.469968000194058,21.469968000194058,24.261196541134268,29.249819916207343,29.249819916207343,32.253321250202134,32.253321250202134,space,1.106554166879505,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h11.37.562,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,33.556183791020885,33.556183791020885,33.556183791020885,36.40330800018273,41.399219083134085,41.399219083134085,44.396115250186995,44.396115250186995,space,0.6248582091648132,3,None,5,None,41.399219083134085,44.396115250186995,44.396115250186995,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h11.37.562,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,45.21500458312221,45.21500458312221,45.21500458312221,48.08710908307694,53.05960483313538,53.05960483313538,56.05403441609815,56.05403441609815,space,3.0407570840325207,3,None,5,None,,56.05403441609815,56.05403441609815,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h11.37.562,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,59.24955950002186,59.24955950002186,59.24955950002186,62.12172733317129,67.11609820812009,67.11609820812009,70.12386250006966,70.12386250006966,space,0.7616332920733839,3,None,5,None,67.11609820812009,70.12386250006966,70.12386250006966,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h11.37.562,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,4,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,71.07282754103653,71.07282754103653,71.07282754103653,73.92525125015527,78.92860570806079,78.92860570806079,,,None,,,,,,,,,81.92766133300029,81.92766133300029,space,1.1508937920443714,83.09962808317505,83.09962808317505,space,0.49043208407238126,83.70071291620843,83.70071291620843,83.70071291620843,83.70071291620843,83.70071291620843,1,0.5533947919029742,93.61219954118133,97.61304766614921,,,,,101,001,2023-12-23_16h11.37.562,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Watching a new episode of a television show,Having a picnic with family,5,0.02,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.61304766614921,97.61304766614921,97.61304766614921,97.61304766614921,97.61304766614921,2,1.5402337920386344,107.61640837509185,112.61822516610846,,,,,101,001,2023-12-23_16h11.37.562,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,"Painting your bedroom
a new color",Having a romantic dinner with a significant other,6,0.03,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.61822516610846,112.61822516610846,112.61822516610846,112.61822516610846,112.61822516610846,2,1.3288820839952677,122.61658454104327,128.61775345820934,,,,,101,001,2023-12-23_16h11.37.562,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Playing with a pet,Studying abroad with friends,1,0.04,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.61775345820934,128.61775345820934,128.61775345820934,128.61775345820934,128.61775345820934,1,1.8519662090111524,138.6105843752157,139.60897645819932,,,,,101,001,2023-12-23_16h11.37.562,RejectionTask_OneLoop,2022.2.1,None,
