TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,Loading_25.started,text_25.started,text_0.stopped,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,syncing_text.stopped,Transparent.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,responses.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9.730406916933134,9.730406916933134,space,0.6632241250481457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h49.38.791,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.412947000004351,10.412947000004351,space,0.15856258384883404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h49.38.791,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,10.605741374893114,13.602507333038375,13.602507333038375,13.602507333038375,13.609123958041891,14.84245524997823,14.84245524997823,14.847276457818225,16.088953541824594,16.088953541824594,16.09425075002946,16.09425075002946,17.343616124941036,17.343616124941036,17.343616124941036,17.343616124941036,18.58859704202041,18.58859704202041,18.58859704202041,18.58859704202041,19.826715250033885,19.826715250033885,19.863182166824117,19.863182166824117,19.863182166824117,19.863182166824117,19.863182166824117,19.863182166824117,space,0.2893943749368191,20.41353283287026,20.41353283287026,20.41353283287026,23.1800328749232,28.189198874868453,28.189198874868453,31.175622374983504,31.175622374983504,space,1.3893172920215875,3,None,5,None,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h49.38.791,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,32.76836366695352,32.76836366695352,32.76836366695352,35.62467566691339,40.61712137493305,40.61712137493305,43.623463541967794,43.623463541967794,space,2.652398166945204,3,None,5,None,40.61712137493305,43.623463541967794,43.623463541967794,,,,,,,,,,,,,,,,101,001,2023-12-22_16h49.38.791,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,46.474063416942954,46.474063416942954,46.474063416942954,49.325477874837816,54.31829037494026,54.31829037494026,57.31158549990505,57.31158549990505,space,0.38405708293430507,3,None,5,None,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_16h49.38.791,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,57.85875808284618,57.85875808284618,57.85875808284618,60.735421374905854,65.73195158294402,65.73195158294402,68.72165179182775,68.72165179182775,space,0.5069861251395196,3,None,5,None,,68.72165179182775,68.72165179182775,,,,,,,,,,,,,,,,101,001,2023-12-22_16h49.38.791,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,69.42113625002094,69.42113625002094,69.42113625002094,72.27974712499417,77.27110987482592,77.27110987482592,,,None,,,,,,,,,80.27203379198909,80.27203379198909,space,0.5877645839937031,80.86703608301468,80.86703608301468,space,0.7880649999715388,81.77282320801169,81.77282320801169,81.77282320801169,81.77282320801169,81.77282320801169,1,0.5270311250351369,101,001,2023-12-22_16h49.38.791,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Watching a new episode of a television show,Having a picnic with family,0.02,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.68399999989197,91.68399999989197,91.68399999989197,91.68399999989197,91.68399999989197,2,1.292770333122462,101,001,2023-12-22_16h49.38.791,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.68330979184248,101.68330979184248,101.68330979184248,101.68330979184248,101.68330979184248,,,,,,,,,
