TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,Loading_25.started,text_25.started,text_0.stopped,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,syncing_text.stopped,Transparent.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,10.703956790966913,10.703956790966913,space,0.5533321669790894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_15h34.58.478,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,11.269003415945917,11.269003415945917,space,0.1511493748985231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_15h34.58.478,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,0,0,0,0,,,,,,,,,,,,,11.448941125068814,14.44307579100132,14.44307579100132,14.44307579100132,14.448092791019008,15.681278874864802,15.681278874864802,15.685959083028138,16.926070749992505,16.926070749992505,16.932499290909618,16.932499290909618,18.173024165909737,18.173024165909737,18.178582166088745,18.178582166088745,19.43124245805666,19.43124245805666,19.43124245805666,19.43124245805666,20.6771740000695,20.6771740000695,20.703383582876995,20.703383582876995,20.703383582876995,20.703383582876995,20.703383582876995,20.703383582876995,space,0.7654097909107804,21.735627375077456,21.735627375077456,21.735627375077456,24.489804124925286,29.49588124989532,29.49588124989532,32.48260820796713,32.48260820796713,space,0.5119261250365525,3,None,5,None,,,,,,,,,,,,101,001,2023-12-22_15h34.58.478,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,33.201762582873926,33.201762582873926,33.201762582873926,36.057260249974206,41.056173000019044,41.056173000019044,44.0528459160123,44.0528459160123,space,0.653669917024672,3,None,5,None,,,,,,,,,,,,101,001,2023-12-22_15h34.58.478,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,44.89387104101479,44.89387104101479,44.89387104101479,47.75501374993473,52.75694220792502,52.75694220792502,55.74730870802887,55.74730870802887,space,13.127982083940879,3,None,5,None,,,,,,,,,,,,101,001,2023-12-22_15h34.58.478,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,69.03721370804124,69.03721370804124,69.03721370804124,71.9021972080227,76.89304083306342,76.89304083306342,79.89498012489639,79.89498012489639,space,0.7528800419531763,3,None,5,None,76.89304083306342,79.89498012489639,79.89498012489639,,,,,,,,,101,001,2023-12-22_15h34.58.478,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,80.8370775829535,80.8370775829535,80.8370775829535,83.68419483304024,88.6759369999636,88.6759369999636,,,None,,,,,,88.6759369999636,91.68341129086912,91.68341129086912,91.68341129086912,91.68341129086912,space,0.9125189171172678,92.60188579093665,92.60188579093665,space,0.6268785421270877,,,,,,,
