TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_50.started,text_50.started,Loading_25.stopped,text_25.stopped,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,syncing_text.stopped,Transparent.stopped,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,blank.started,blank.stopped,Left_Experience.stopped,Right_Experience.stopped,Left_Price.stopped,Right_Price.stopped,responses.stopped,responses.keys,responses.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9.454932417022064,9.454932417022064,space,0.40022812504321337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h21.20.732,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.867620832985267,9.867620832985267,space,0.2036684169434011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h21.20.732,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,10.105675166938454,13.093177167000249,13.093177167000249,13.093177167000249,13.10711683286354,14.34231449989602,14.352639207849279,14.352639207849279,15.595494499895722,15.595494499895722,15.601941082859412,15.601941082859412,16.84039366687648,16.84039366687648,16.84039366687648,16.84039366687648,18.083350667031482,18.083350667031482,18.092449166812003,18.092449166812003,19.35705570783466,19.35705570783466,19.35705570783466,19.35705570783466,19.35705570783466,19.35705570783466,19.35705570783466,19.35705570783466,space,0.3054016251116991,19.92105708294548,19.92105708294548,19.92105708294548,22.69975045789033,27.68950766697526,27.68950766697526,30.705944957910106,30.705944957910106,space,0.940072333207354,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h21.20.732,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,31.85757733299397,31.85757733299397,31.85757733299397,34.710501374909654,39.70720574981533,39.70720574981533,42.726364499889314,42.726364499889314,space,0.6045217078644782,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h21.20.732,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,43.51654233294539,43.51654233294539,43.51654233294539,46.3516222499311,51.35434704180807,51.35434704180807,54.35708500002511,54.35708500002511,space,0.5304017087910324,3,None,5,None,51.35434704180807,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h21.20.732,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,55.042655874975026,55.042655874975026,55.042655874975026,57.92239729198627,62.92715704184957,62.92715704184957,65.92445199983194,65.92445199983194,space,1.230793874943629,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-22_21h21.20.732,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,67.34076858288608,67.34076858288608,67.34076858288608,70.19875895790756,75.19042441691272,75.19042441691272,,,None,,,,,,,78.19030691683292,78.19030691683292,space,1.0954460829962045,79.3016335000284,79.3016335000284,space,0.8112048329785466,80.16814766684547,80.16814766684547,80.16814766684547,80.16814766684547,80.16814766684547,80.16814766684547,82.16957425000146,90.16726941685192,90.16726941685192,90.16726941685192,90.16726941685192,90.16726941685192,1,9.403053958900273,101,001,2023-12-22_21h21.20.732,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Watching a new episode of a television show,Having a picnic with family,0.02,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.16726941685192,90.16726941685192,90.16726941685192,90.16726941685192,90.16726941685192,90.16726941685192,92.16546362498775,100.17322220792994,100.17322220792994,100.17322220792994,100.17322220792994,100.17322220792994,1,0.6804920830763876,101,001,2023-12-22_21h21.20.732,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.17322220792994,100.17322220792994,100.17322220792994,100.17322220792994,100.17322220792994,100.17322220792994,102.17369137494825,,,,,,,,,,,,,,
