TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,syncing_text.stopped,Transparent.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,waiting_text.stopped,displayfeedback_text.started,fdbkimage_image.started,displayfeedback_text.stopped,fdbkimage_image.stopped,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,responses.rt,ITI_text.started,ITI_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.635284166084602,10.635284166084602,space,1.2688980421517044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h42.47.385,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.916377541143447,11.916377541143447,space,1.180087875109166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h42.47.385,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,13.133056041086093,16.11806320794858,16.11806320794858,16.11806320794858,16.123676625080407,17.367446250049397,17.367446250049397,17.367446250049397,18.61754387500696,18.61754387500696,18.623742915922776,18.623742915922776,19.875887624919415,19.875887624919415,19.875887624919415,19.875887624919415,21.114470000145957,21.114470000145957,21.114470000145957,21.114470000145957,22.360082250088453,22.360082250088453,22.38587020803243,22.38587020803243,22.38587020803243,22.38587020803243,22.38587020803243,22.38587020803243,space,2.9245607920456678,25.587749040918425,25.587749040918425,25.587749040918425,28.329119500005618,33.328439250122756,33.328439250122756,33.328439250122756,36.32557799993083,36.32557799993083,36.32557799993083,36.32557799993083,space,1.2458007920067757,3,None,5,None,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h42.47.385,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,37.831849250011146,37.831849250011146,37.831849250011146,40.62579141603783,,45.62746354099363,45.62746354099363,48.62584741599858,48.62584741599858,48.62584741599858,48.62584741599858,space,1.591132584027946,3,None,5,None,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h42.47.385,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,50.41467495798133,50.41467495798133,50.41467495798133,53.245973207987845,58.23921029106714,58.23921029106714,58.23921029106714,61.229701166041195,61.229701166041195,61.229701166041195,61.229701166041195,space,0.9942483329214156,3,None,5,None,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h42.47.385,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,62.38786016614176,62.38786016614176,62.38786016614176,65.26431516604498,,70.27028341614641,70.27028341614641,,,73.27056166599505,73.27056166599505,space,1.3920872919261456,3,None,5,None,,,,,,,,,,,,,,,,,,101,001,2024-01-03_21h42.47.385,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,4,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,74.86179483309388,74.86179483309388,74.86179483309388,77.7088801250793,,82.69072795799002,82.69072795799002,85.6856627499219,85.6856627499219,,,None,,,,,,85.6856627499219,85.6856627499219,space,2.2926385409664363,88.00649870792404,88.00649870792404,space,0.501754374941811,88.55968229100108,88.55968229100108,88.55968229100108,88.55968229100108,88.55968229100108,1,1.109227417036891,98.5478508330416,102.55042337509803,101,001,2024-01-03_21h42.47.385,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Watching a new episode of a television show,Having a picnic with family,5,0.02,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.55042337509803,102.55042337509803,102.55042337509803,102.55042337509803,102.55042337509803,2,1.2807252921629697,112.53718904103152,117.5422838749364,101,001,2024-01-03_21h42.47.385,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.5422838749364,117.5422838749364,117.5422838749364,117.5422838749364,117.5422838749364,1,0.6790488329716027,127.52846245793626,,,,,,,,
