TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,syncing_text.stopped,Transparent.stopped,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,displayfeedback_text.stopped,fdbkimage_image.stopped,waiting_text.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,responses.rt,ITI_text.started,ITI_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.13490349985659,18.13490349985659,space,0.5535633328836411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_20h24.51.468,RejectionTask_OneLoop,2022.2.1,61.111309297916335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.694593749940395,18.694593749940395,space,0.3720354998949915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_20h24.51.468,RejectionTask_OneLoop,2022.2.1,61.111309297916335,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,19.099163541803136,22.08222195901908,22.08222195901908,22.08222195901908,22.095438041957095,23.32855400000699,23.333534749923274,23.333534749923274,24.57821979187429,24.57821979187429,24.583245208952576,24.583245208952576,25.836638666922227,25.836638666922227,25.836638666922227,25.836638666922227,27.083244459005073,27.083244459005073,27.083244459005073,27.083244459005073,28.36357245896943,28.36357245896943,28.36357245896943,28.36357245896943,28.36357245896943,28.36357245896943,28.36357245896943,28.36357245896943,space,0.6361828329972923,29.275485958904028,29.275485958904028,29.275485958904028,32.01605704193935,37.0316705419682,37.0316705419682,40.02611541701481,40.02611541701481,space,0.43021212494932115,3,None,5,None,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_20h24.51.468,RejectionTask_OneLoop,2022.2.1,61.111309297916335,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,40.67263379180804,40.67263379180804,40.67263379180804,43.51779600000009,48.524727291893214,48.524727291893214,51.517376916948706,51.517376916948706,space,0.7661316248122603,3,None,5,None,,,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_20h24.51.468,RejectionTask_OneLoop,2022.2.1,61.111309297916335,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,52.48102179192938,52.48102179192938,52.48102179192938,55.324554374907166,60.32268529199064,60.32268529199064,63.315631167031825,63.315631167031825,space,0.5198988749179989,3,None,5,None,63.315631167031825,63.315631167031825,,,,,,,,,,,,,,,,,,,101,001,2024-01-03_20h24.51.468,RejectionTask_OneLoop,2022.2.1,61.111309297916335,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,64.00029333401471,64.00029333401471,64.00029333401471,66.876664374955,71.87079745880328,71.87079745880328,74.86074979184195,74.86074979184195,space,0.507542708190158,3,None,5,None,74.86074979184195,74.86074979184195,71.87079745880328,,,,,,,,,,,,,,,,,,101,001,2024-01-03_20h24.51.468,RejectionTask_OneLoop,2022.2.1,61.111309297916335,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,4,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,75.61814149981365,75.61814149981365,75.61814149981365,78.46876437496394,83.47323874989524,83.47323874989524,,,None,,,,,,,,,86.47588699986227,86.47588699986227,space,2.7840142080094665,89.28243937483057,89.28243937483057,space,0.6157681669574231,89.95414458401501,89.95414458401501,89.95414458401501,89.95414458401501,89.95414458401501,1,1.1046070840675384,99.91018166695721,103.92655249987729,101,001,2024-01-03_20h24.51.468,RejectionTask_OneLoop,2022.2.1,61.111309297916335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.92655249987729,103.92655249987729,103.92655249987729,103.92655249987729,103.92655249987729,1,0.6480646249838173,,,,,,,,,
