endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt
space,449.1408,5c5c451500b69200011bb8bf,2024-04-15_13h39.50.249,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c5c451500b69200011bb8bf,2024-04-15_13h39.50.249,WTP_SM_Choice,2022.2.1,Win32,59.88023952,space,2.9946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c5c451500b69200011bb8bf,2024-04-15_13h39.50.249,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,space,3.7687,space,1.868,NAN,,NAN,0,6,,0,0,0,0,1,1,Riley,Acc,Participant_Images/5c5c451500b69200011bb8bf/5c5c451500b69200011bb8bf_Images/5c5c451500b69200011bb8bf_Image_18.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,
,,5c5c451500b69200011bb8bf,2024-04-15_13h39.50.249,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,0.6051,NAN,,NAN,0,6,,0,1,1,1,1,2,Riley,Acc,Participant_Images/5c5c451500b69200011bb8bf/5c5c451500b69200011bb8bf_Images/5c5c451500b69200011bb8bf_Image_11.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,
,,5c5c451500b69200011bb8bf,2024-04-15_13h39.50.249,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,371.8818,NAN,,NAN,0,6,,0,2,2,2,1,3,Riley,Acc,Participant_Images/5c5c451500b69200011bb8bf/5c5c451500b69200011bb8bf_Images/5c5c451500b69200011bb8bf_Image_16.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,
,,5c5c451500b69200011bb8bf,2024-04-15_13h39.50.249,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,1.5882,NAN,,NAN,0,6,,0,3,3,3,1,4,Riley,Acc,Participant_Images/5c5c451500b69200011bb8bf/5c5c451500b69200011bb8bf_Images/5c5c451500b69200011bb8bf_Image_15.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,
,,5c5c451500b69200011bb8bf,2024-04-15_13h39.50.249,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,1,,,,,,space,880.7987,space,3.4302,0.01,2,2.5429,0,0,0,0,1,Relaxing beside the pool,Going to the museum with my family,0.01,0.01,4.4,,
,,5c5c451500b69200011bb8bf,2024-04-15_13h39.50.249,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,2.2916,0,1,1,1,1,Getting chores done,Going out and try new restaurants with friends.,0.02,0.01,8.8,,
,,5c5c451500b69200011bb8bf,2024-04-15_13h39.50.249,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,2.6215,0,2,2,2,1,Doing the laundry,Going to the pet store with my dog and walk her around the store,0.03,0.01,3.3,,
,,5c5c451500b69200011bb8bf,2024-04-15_13h39.50.249,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,3.0978,0,3,3,3,1,Taking naps in my spare time,Drawing with my younger siblings,0.04,0.01,1.1,,
