endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt
space,4.5354,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,space,2.1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,space,2.3151,space,0.6923,NAN,,NAN,0,6,,0,0,0,0,1,1,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_21.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,3.647,NAN,,NAN,0,6,,0,1,1,1,1,2,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_20.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,1.0163,NAN,,NAN,0,6,,0,2,2,2,1,3,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_8.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,0.8179,NAN,,NAN,0,6,,0,3,3,3,1,4,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_3.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,1,,,,,,space,9.9373,space,122.1685,0.01,2,3.9329,0,0,0,0,1,Work out,Cook with my family,0.01,0.01,4.4,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,4.2666,0,1,1,1,1,Work out,Play basket ball with my friends,0.02,0.01,8.8,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,3.2825,0,2,2,2,1,Listen to podcasts on my way to work,Travel to Orlando with my family,0.03,0.01,3.3,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,3.899,0,3,3,3,1,Play basket ball with my friends,Read in bed,0.04,0.01,1.1,0,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.05,1,2.443,0,4,4,4,1,Watch instagram reels,Jog with my kids,0.05,0.01,1.1,1,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,,,NAN,,NAN,0.12,5.88,,0,4,4,4,1,5,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_22.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,4.4894,NAN,,NAN,0.12,5.88,,0,5,5,5,1,6,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_16.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,0.6228,NAN,,NAN,0.12,5.88,,0,6,6,6,1,7,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_25.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,0.6589,NAN,,NAN,0.12,5.88,,0,7,7,7,1,8,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_18.jpeg,did not like,2.843822497,,,,,,,,,,,,,,,,,,,,
,,6700d6aca79c6b2534f6292c,6685aa9113c938e83b4f1ea0,672ea90a6e308631ecb9f882,2024-11-08_16h21.21.576,WTP_SM_Choice,2022.2.1,Win32,29.94011976,,,,,space,0.7312,NAN,,NAN,0.12,5.88,,0,8,8,8,1,9,Sam,Acc,Participant_Images/6700d6aca79c6b2534f6292c/6700d6aca79c6b2534f6292c_Images/6700d6aca79c6b2534f6292c_Image_24.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,
