endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,4.9485,5cc3f0f9fdb33500018c5eeb,6685aa9113c938e83b4f1ea0,66bcc1282ed5ffec8777e14b,2024-08-14_07h37.55.392,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5cc3f0f9fdb33500018c5eeb,6685aa9113c938e83b4f1ea0,66bcc1282ed5ffec8777e14b,2024-08-14_07h37.55.392,WTP_SM_Choice,2022.2.1,Win32,60.60606061,space,14.2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5cc3f0f9fdb33500018c5eeb,6685aa9113c938e83b4f1ea0,66bcc1282ed5ffec8777e14b,2024-08-14_07h37.55.392,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,space,1.5275,space,0.851,NAN,,NAN,0,6,,0,0,0,0,1,1,Charlie,Acc,Participant_Images/5cc3f0f9fdb33500018c5eeb/5cc3f0f9fdb33500018c5eeb_Images/5cc3f0f9fdb33500018c5eeb_Image_20.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,5cc3f0f9fdb33500018c5eeb,6685aa9113c938e83b4f1ea0,66bcc1282ed5ffec8777e14b,2024-08-14_07h37.55.392,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.713,NAN,,NAN,0,6,,0,1,1,1,1,2,Charlie,Acc,Participant_Images/5cc3f0f9fdb33500018c5eeb/5cc3f0f9fdb33500018c5eeb_Images/5cc3f0f9fdb33500018c5eeb_Image_23.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,5cc3f0f9fdb33500018c5eeb,6685aa9113c938e83b4f1ea0,66bcc1282ed5ffec8777e14b,2024-08-14_07h37.55.392,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.6532,NAN,,NAN,0,6,,0,2,2,2,1,3,Charlie,Acc,Participant_Images/5cc3f0f9fdb33500018c5eeb/5cc3f0f9fdb33500018c5eeb_Images/5cc3f0f9fdb33500018c5eeb_Image_21.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,5cc3f0f9fdb33500018c5eeb,6685aa9113c938e83b4f1ea0,66bcc1282ed5ffec8777e14b,2024-08-14_07h37.55.392,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.7536,NAN,,NAN,0,6,,0,3,3,3,1,4,Charlie,Acc,Participant_Images/5cc3f0f9fdb33500018c5eeb/5cc3f0f9fdb33500018c5eeb_Images/5cc3f0f9fdb33500018c5eeb_Image_22.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,5cc3f0f9fdb33500018c5eeb,6685aa9113c938e83b4f1ea0,66bcc1282ed5ffec8777e14b,2024-08-14_07h37.55.392,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,1,,,,,,space,12.9006,space,5.3617,,0,0,0,0,1,Working on sorting and organizing a coin collection,Going to a show,0.01,0.01,4.4,1,,,,,,
,,5cc3f0f9fdb33500018c5eeb,6685aa9113c938e83b4f1ea0,66bcc1282ed5ffec8777e14b,2024-08-14_07h37.55.392,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,0,1,1,1,1,Playing Xbox on two TVs,Taking my truck to the car wash,0.02,0.01,8.8,0,0.02,4.1942,,,,
,,5cc3f0f9fdb33500018c5eeb,6685aa9113c938e83b4f1ea0,66bcc1282ed5ffec8777e14b,2024-08-14_07h37.55.392,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,0,2,2,2,1,Going to the river,Taking a long bath,0.03,0.01,3.3,0,0.03,1.6766,,,,
,,5cc3f0f9fdb33500018c5eeb,6685aa9113c938e83b4f1ea0,66bcc1282ed5ffec8777e14b,2024-08-14_07h37.55.392,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,0,3,3,3,1,Going to a new resturaunt,Organizing and rearranging my room,0.04,0.01,1.1,0,0.04,1.327,,,,
