endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
space,15.0022,6670297f1e47e468c3605ef4,2024-07-22_11h50.17.054,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6670297f1e47e468c3605ef4,2024-07-22_11h50.17.054,WTP_SM_Choice,2022.2.1,Win32,59.88023952,space,18.6548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6670297f1e47e468c3605ef4,2024-07-22_11h50.17.054,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,space,3.4018,space,1.1523,NAN,,NAN,0,6,,0,0,0,0,1,1,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_25.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,,
,,6670297f1e47e468c3605ef4,2024-07-22_11h50.17.054,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,1.2673,NAN,,NAN,0,6,,0,1,1,1,1,2,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_21.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,,
,,6670297f1e47e468c3605ef4,2024-07-22_11h50.17.054,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,4.2844,NAN,,NAN,0,6,,0,2,2,2,1,3,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_12.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,,
,,6670297f1e47e468c3605ef4,2024-07-22_11h50.17.054,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,7.6237,NAN,,NAN,0,6,,0,3,3,3,1,4,Sam,Rej,Participant_Images/6670297f1e47e468c3605ef4/6670297f1e47e468c3605ef4_Images/6670297f1e47e468c3605ef4_Image_15.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,,
,,6670297f1e47e468c3605ef4,2024-07-22_11h50.17.054,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,1,,,,,,space,21.54,space,9.7148,0.01,1,8.1881,0,0,0,0,1,watch football all day on sunday during the football season and eating pizza,Try new bars with friends,0.01,0.01,4.4,1,,,,,
,,6670297f1e47e468c3605ef4,2024-07-22_11h50.17.054,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,5.1893,0,1,1,1,1,Play video games in my room on my pc that i built,Go on hikes with friends,0.02,0.01,8.8,1,,,,,
,,6670297f1e47e468c3605ef4,2024-07-22_11h50.17.054,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,3.7371,0,2,2,2,1,Try new restaraunts that i've never been to in my area,Barbeque with friends and family in a park,0.03,0.01,3.3,1,,,,,
,,6670297f1e47e468c3605ef4,2024-07-22_11h50.17.054,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,2.9275,0,3,3,3,1,Try new restaraunts that i've never been to in my area,Play games online with friends,0.04,0.01,1.1,1,,,,,
