endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,NAN,,NAN,0.07,5.93,,0,4,4,4,1,5,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_7.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,1.4686,NAN,,NAN,0.07,5.93,,0,5,5,5,1,6,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_17.jpeg,did not like,3.79605092,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.8898,NAN,,NAN,0.07,5.93,,0,6,6,6,1,7,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_19.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,1.2329,NAN,,NAN,0.07,5.93,,0,7,7,7,1,8,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_16.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.8108,NAN,,NAN,0.07,5.93,,0,8,8,8,1,9,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_6.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,6,,,,,,space,6.5069,space,3.6584,0.01,1,2.2816,0,0,0,0,1,Watch YouTube videos,Play video games with friends and family,0.01,0.02,3.3,1,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,1,2.7178,0,1,1,1,1,Bake something,Go to the library with my sister,0.02,0.02,1.1,1,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,4.8252,0,2,2,2,1,Go to the library with my sister,Read a book on the beach,0.03,0.02,1.1,0,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.02,2,2.3396,0,3,3,3,1,Make coffee,Go on a walk with my family,0.04,0.02,4.4,1,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,6.4871,0,4,4,4,1,Relax in a hammock,Play video games with friends and family,0.05,0.02,1.1,1,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,NAN,,NAN,0.16,5.84,,0,9,9,9,1,10,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_20.jpeg,liked,1.672012706,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,1.4868,NAN,,NAN,0.16,5.84,,0,10,10,10,1,11,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_1.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,1.3899,NAN,,NAN,0.16,5.84,,0,11,11,11,1,12,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_21.jpeg,did not like,2.50187214,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.5662,NAN,,NAN,0.16,5.84,,0,12,12,12,1,13,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_14.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,2.1456,NAN,,NAN,0.16,5.84,,0,13,13,13,1,14,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_10.jpeg,liked,5.336503566,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,11,,,,,,space,1.6109,space,0.682,0.03,2,3.5853,0,0,0,0,1,Watch league of legends esports,See a movie with friends,0.01,0.03,3.3,1,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,2.0525,0,1,1,1,1,Watch YouTube videos,Try a new restaurant with family,0.02,0.03,4.4,1,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,2,2.7615,0,2,2,2,1,Go on a walk with my family,Bake something,0.03,0.03,1.1,0,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.03,2,3.6944,0,3,3,3,1,See a movie with friends,Watch YouTube videos,0.04,0.03,3.3,0,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.03,2,1.5194,0,4,4,4,1,Watch league of legends esports,Watch awards shows with family,0.05,0.03,4.4,1,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,,,NAN,,NAN,0.3,5.7,,0,14,14,14,1,15,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_9.jpeg,did not like,2.642157193,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.8403,NAN,,NAN,0.3,5.7,,0,15,15,15,1,16,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_24.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,0.7364,NAN,,NAN,0.3,5.7,,0,16,16,16,1,17,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_25.jpeg,liked,4.438512181,,,,,,,,,,,,,,,,,,,,,,
,,66c95504723c57c900715764,6685aa9113c938e83b4f1ea0,67111c134b5a15bf22ed0d38,2024-10-17_10h16.29.908,WTP_SM_Choice,2022.2.1,Win32,144.9275362,,,,,space,1.0563,NAN,,NAN,0.3,5.7,,0,17,17,17,1,18,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_5.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,,,,
