endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,NAN,,NAN,0.15,5.85,,0,4,4,4,1,5,Riley,Rej,Participant_Images/66c0df311f98d7c9661669d9/66c0df311f98d7c9661669d9_Images/66c0df311f98d7c9661669d9_Image_1.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,space,1.003,NAN,,NAN,0.15,5.85,,0,5,5,5,1,6,Riley,Rej,Participant_Images/66c0df311f98d7c9661669d9/66c0df311f98d7c9661669d9_Images/66c0df311f98d7c9661669d9_Image_2.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,space,1.069,NAN,,NAN,0.15,5.85,,0,6,6,6,1,7,Riley,Rej,Participant_Images/66c0df311f98d7c9661669d9/66c0df311f98d7c9661669d9_Images/66c0df311f98d7c9661669d9_Image_23.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,space,2.954,NAN,,NAN,0.15,5.85,,0,7,7,7,1,8,Riley,Rej,Participant_Images/66c0df311f98d7c9661669d9/66c0df311f98d7c9661669d9_Images/66c0df311f98d7c9661669d9_Image_21.jpeg,did not like,2.843822497,,,,,,,,,,,,,,,,,,,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,space,1.219,NAN,,NAN,0.15,5.85,,0,8,8,8,1,9,Riley,Rej,Participant_Images/66c0df311f98d7c9661669d9/66c0df311f98d7c9661669d9_Images/66c0df311f98d7c9661669d9_Image_6.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,6,,,,,,space,9.315,space,5.467,0.01,1,2.208,0,0,0,0,1,Watch horror movies in my living room with a candle lit,Visit scenic areas on the weekends with my family,0.01,0.02,3.3,1,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,1,1.733,0,1,1,1,1,Grab dinner with my parents on saturday,Spend time at home with my cats,0.02,0.02,1.1,0,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,1.611,0,2,2,2,1,Sit at my desk with a warm coffee to drink,Visit scenic areas on the weekends with my family,0.03,0.02,1.1,1,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.02,2,1.361,0,3,3,3,1,Spend time at home with my cats,Visit scenic areas on the weekends with my family,0.04,0.02,4.4,1,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,1.713,0,4,4,4,1,Visit haunted corn mazes in october for halloween with friends,Go for a walk outside my house and seeing the nature outside,0.05,0.02,1.1,0,,,,,
