endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,1.639,NAN,,NAN,0.08,5.92,,0,6,6,6,1,7,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_12.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,2.334,NAN,,NAN,0.08,5.92,,0,7,7,7,1,8,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_16.jpeg,did not like,2.843822497,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,2.406,NAN,,NAN,0.08,5.92,,0,8,8,8,1,9,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_11.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,6,,,,,,space,7.018,space,0.615,0.02,2,4.435,0,0,0,0,1,practice basketball,discuss business ideas with others,0.01,0.02,3.3,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,1,3.186,0,1,1,1,1,scroll on social media by myself,watch videos with others,0.02,0.02,1.1,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.03,1,5.774,0,2,2,2,1,scroll on social media by myself,discuss current events with others,0.03,0.02,1.1,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.02,2,6.167,0,3,3,3,1,participate in a fantasy league of football,discuss current events with others,0.04,0.02,4.4,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.05,1,4.303,0,4,4,4,1,scroll on social media by myself,run with others,0.05,0.02,1.1,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,NAN,,NAN,0.22,5.78,,0,9,9,9,1,10,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_18.jpeg,liked,1.672012706,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,3.371,NAN,,NAN,0.22,5.78,,0,10,10,10,1,11,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_10.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,1,NAN,,NAN,0.22,5.78,,0,11,11,11,1,12,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_23.jpeg,did not like,2.50187214,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,2.16,NAN,,NAN,0.22,5.78,,0,12,12,12,1,13,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_19.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,2.091,NAN,,NAN,0.22,5.78,,0,13,13,13,1,14,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_7.jpeg,liked,5.336503566,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,11,,,,,,space,5.782,space,0.893,0.01,1,2.151,0,0,0,0,1,trade stocks and crypto,eat with others,0.01,0.03,3.3,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,1.089,0,1,1,1,1,scroll on social media by myself,wrestle with others,0.02,0.03,4.4,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,1,2.292,0,2,2,2,1,read online,discuss business ideas with others,0.03,0.03,1.1,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.03,2,3.388,0,3,3,3,1,practice basketball,talk with others,0.04,0.03,3.3,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.03,2,1.72,0,4,4,4,1,invest in clothes,discuss current events with others,0.05,0.03,4.4,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,,,NAN,,NAN,0.34,5.66,,0,14,14,14,1,15,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_17.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,3.179,NAN,,NAN,0.34,5.66,,0,15,15,15,1,16,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_13.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,3.774,NAN,,NAN,0.34,5.66,,0,16,16,16,1,17,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_25.jpeg,liked,4.438512181,,,,,,,,,,,,,,,,,,,,,
,,65412ca42e0e2fbb27b8a7b2,2024-07-05_10h42.04.662,WTP_SM_Choice,2022.2.1,Win32,58.82352941,,,,,space,2.551,NAN,,NAN,0.34,5.66,,0,17,17,17,1,18,Sam,Acc,Participant_Images/65412ca42e0e2fbb27b8a7b2/65412ca42e0e2fbb27b8a7b2_Images/65412ca42e0e2fbb27b8a7b2_Image_3.jpeg,did not like,2.682944783,,,,,,,,,,,,,,,,,,,,,
