endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt
space,4.6234,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,space,7.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,space,1.6996,space,0.6656,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_22.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.3429,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_14.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.2678,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_18.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.6383,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Rej,Participant_Images/63d432e27555fb4b5785cfcd/63d432e27555fb4b5785cfcd_Images/63d432e27555fb4b5785cfcd_Image_3.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,1,,,,,,space,7.3484,space,9.0842,0.01,1,3.9064,0,0,0,0,1,Lounging around and reading a good book on the beach,Snuggling up with my husband kiddo and dogs and watching movies,0.01,0.01,4.4,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,2.7125,0,1,1,1,1,Lounging around and reading a good book on the beach,Getting tattoos with others such as my husband or my besties,0.02,0.01,8.8,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,1.8199,0,2,2,2,1,Playing fetch with the dogs or playing in the dirt in our backyard,Fishing with my family,0.03,0.01,3.3,,
,,63d432e27555fb4b5785cfcd,2024-04-13_08h54.22.699,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,2.7599,0,3,3,3,1,Listening to storms by a window,Going to my sister's house and spending time with my niece,0.04,0.01,1.1,,
