endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,0.101,NAN,,NAN,0.11,5.89,,0,7,7,7,1,8,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_23.jpeg,did not like,2.843822497,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,6.1533,NAN,,NAN,0.11,5.89,,0,8,8,8,1,9,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_6.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,6,,,,,,space,6.4413,space,1.2856,0.01,1,0.3488,0,0,0,0,1,Listen to my favorite music on my record player,Go on a walk with my best friend,0.01,0.02,3.3,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,2,0.9493,0,1,1,1,1,Play a board game with my family,Shop online on my laptop,0.02,0.02,1.1,0,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.03,1,1.1266,0,2,2,2,1,Watch our favorite tv show with my boyfiend,Bake a new dessert for the first time,0.03,0.02,1.1,0,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.04,1,2.7875,0,3,3,3,1,Go on a long walk,Talk on the phone and catch up with friends,0.04,0.02,4.4,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,0.3808,0,4,4,4,1,Read our books in bed with my boyfriend,Listen to my favorite music on my record player,0.05,0.02,1.1,0,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,NAN,,NAN,0.23,5.77,,0,9,9,9,1,10,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_12.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,11.228,NAN,,NAN,0.23,5.77,,0,10,10,10,1,11,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_25.jpeg,did not like,4.942172136,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,3.0977,NAN,,NAN,0.23,5.77,,0,11,11,11,1,12,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_4.jpeg,did not like,2.50187214,,,,,,,,,,,,,,,,,,,,,,,
