endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,4.1305,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,space,9.9028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,space,1.4422,space,0.9309,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_13.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,1.0746,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_2.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.7753,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_24.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.621,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_4.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,1,,,,,,space,13.8578,space,4.1481,0.01,2,1.611,0,0,0,0,1,play video games,work on college group projects,0.01,0.01,4.4,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,2.1316,0,1,1,1,1,learn french,talk with my friends online,0.02,0.01,8.8,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,1.5031,0,2,2,2,1,exercise,spend time with my partner,0.03,0.01,3.3,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,1.4697,0,3,3,3,1,learn french,spent time with my family,0.04,0.01,1.1,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,1.5768,0,4,4,4,1,learn french,work on college group projects,0.05,0.01,1.1,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,NAN,,NAN,0.09,5.91,,0,4,4,4,1,5,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_15.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.8185,NAN,,NAN,0.09,5.91,,0,5,5,5,1,6,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_8.jpeg,did not like,3.79605092,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.7512,NAN,,NAN,0.09,5.91,,0,6,6,6,1,7,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_18.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.6697,NAN,,NAN,0.09,5.91,,0,7,7,7,1,8,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_14.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.5687,NAN,,NAN,0.09,5.91,,0,8,8,8,1,9,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_17.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,6,,,,,,space,6.5741,space,1.6724,0.01,1,1.053,0,0,0,0,1,go for a walk,go to festivals like pride,0.01,0.02,3.3,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,1,1.2114,0,1,1,1,1,listen to music,go to the movies,0.02,0.02,1.1,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,1.1298,0,2,2,2,1,browse the internet,spent time with my family,0.03,0.02,1.1,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.02,2,1.5995,0,3,3,3,1,go for a walk,go visit my extended family,0.04,0.02,4.4,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,1.6713,0,4,4,4,1,read,spend time with my partner,0.05,0.02,1.1,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,NAN,,NAN,0.18,5.82,,0,9,9,9,1,10,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_25.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.6177,NAN,,NAN,0.18,5.82,,0,10,10,10,1,11,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_5.jpeg,did not like,4.942172136,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.6431,NAN,,NAN,0.18,5.82,,0,11,11,11,1,12,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_12.jpeg,did not like,2.50187214,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.5132,NAN,,NAN,0.18,5.82,,0,12,12,12,1,13,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_3.jpeg,did not like,2.071164779,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.9018,NAN,,NAN,0.18,5.82,,0,13,13,13,1,14,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_9.jpeg,did not like,5.336503566,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,11,,,,,,space,4.2787,space,1.2021,0.01,1,1.0421,0,0,0,0,1,exercise,go visit my extended family,0.01,0.03,3.3,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,1.1291,0,1,1,1,1,read,create art and get live feedback from my partner,0.02,0.03,4.4,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,1,0.8014,0,2,2,2,1,do bead art,create art and get live feedback from my partner,0.03,0.03,1.1,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.03,2,1.3747,0,3,3,3,1,play video games,go to the movies,0.04,0.03,3.3,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.03,2,0.9879,0,4,4,4,1,listen to music,go out to eat with family,0.05,0.03,4.4,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,,,NAN,,NAN,0.3,5.7,,0,14,14,14,1,15,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_6.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,
,,663e5cf112f5d047cf5c9fad,2024-07-03_00h45.29.275,WTP_SM_Choice,2022.2.1,Win32,60.60606061,,,,,space,0.7179,NAN,,NAN,0.3,5.7,,0,15,15,15,1,16,Alex,Rej,Participant_Images/663e5cf112f5d047cf5c9fad/663e5cf112f5d047cf5c9fad_Images/663e5cf112f5d047cf5c9fad_Image_16.jpeg,did not like,4.456234322,,,,,,,,,,,,,,,,,,,,,
