endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,decision_price,responses.rt,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,18.733,61528277afcb4906d01e0442,6685aa9113c938e83b4f1ea0,6723c3d5a657ab9e1b920e9a,2024-10-31_12h55.59.369,WTP_SM_Choice,2022.2.1,Win32,60.16847172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61528277afcb4906d01e0442,6685aa9113c938e83b4f1ea0,6723c3d5a657ab9e1b920e9a,2024-10-31_12h55.59.369,WTP_SM_Choice,2022.2.1,Win32,60.16847172,space,15.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61528277afcb4906d01e0442,6685aa9113c938e83b4f1ea0,6723c3d5a657ab9e1b920e9a,2024-10-31_12h55.59.369,WTP_SM_Choice,2022.2.1,Win32,60.16847172,,,space,10.285,space,2.711,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Rej,Participant_Images/61528277afcb4906d01e0442/61528277afcb4906d01e0442_Images/61528277afcb4906d01e0442_Image_9.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,61528277afcb4906d01e0442,6685aa9113c938e83b4f1ea0,6723c3d5a657ab9e1b920e9a,2024-10-31_12h55.59.369,WTP_SM_Choice,2022.2.1,Win32,60.16847172,,,,,space,0.866,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Rej,Participant_Images/61528277afcb4906d01e0442/61528277afcb4906d01e0442_Images/61528277afcb4906d01e0442_Image_19.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,61528277afcb4906d01e0442,6685aa9113c938e83b4f1ea0,6723c3d5a657ab9e1b920e9a,2024-10-31_12h55.59.369,WTP_SM_Choice,2022.2.1,Win32,60.16847172,,,,,space,1.016,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Rej,Participant_Images/61528277afcb4906d01e0442/61528277afcb4906d01e0442_Images/61528277afcb4906d01e0442_Image_20.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,61528277afcb4906d01e0442,6685aa9113c938e83b4f1ea0,6723c3d5a657ab9e1b920e9a,2024-10-31_12h55.59.369,WTP_SM_Choice,2022.2.1,Win32,60.16847172,,,,,space,0.606,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Rej,Participant_Images/61528277afcb4906d01e0442/61528277afcb4906d01e0442_Images/61528277afcb4906d01e0442_Image_12.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,61528277afcb4906d01e0442,6685aa9113c938e83b4f1ea0,6723c3d5a657ab9e1b920e9a,2024-10-31_12h55.59.369,WTP_SM_Choice,2022.2.1,Win32,60.16847172,,,,,,,,,,,,,,,,,,1,,,,,,space,0.305,space,5.629,,0,0,0,0,1,Nap with my boyfriend,Go to the gym to get fit,0.01,0.01,4.4,0,,,,,,
,,61528277afcb4906d01e0442,6685aa9113c938e83b4f1ea0,6723c3d5a657ab9e1b920e9a,2024-10-31_12h55.59.369,WTP_SM_Choice,2022.2.1,Win32,60.16847172,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,1,1,1,1,Game on my computer,Go to the park with my son,0.02,0.01,8.8,1,,,,,,
,,61528277afcb4906d01e0442,6685aa9113c938e83b4f1ea0,6723c3d5a657ab9e1b920e9a,2024-10-31_12h55.59.369,WTP_SM_Choice,2022.2.1,Win32,60.16847172,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0,2,2,2,1,Play board games with my family,Make agendas and schedules on my computer,0.03,0.01,3.3,0,,,,,,
,,61528277afcb4906d01e0442,6685aa9113c938e83b4f1ea0,6723c3d5a657ab9e1b920e9a,2024-10-31_12h55.59.369,WTP_SM_Choice,2022.2.1,Win32,60.16847172,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,0,3,3,3,1,Go to the park with my son,Bake cakes at home,0.04,0.01,1.1,0,,,,,,
