endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.7439,NAN,,NAN,0.12,5.88,,0,5,5,5,1,6,Alex,Acc,Participant_Images/662a754842502c24dbb45384/662a754842502c24dbb45384_Images/662a754842502c24dbb45384_Image_8.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.6365,NAN,,NAN,0.12,5.88,,0,6,6,6,1,7,Alex,Acc,Participant_Images/662a754842502c24dbb45384/662a754842502c24dbb45384_Images/662a754842502c24dbb45384_Image_22.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.6177,NAN,,NAN,0.12,5.88,,0,7,7,7,1,8,Alex,Acc,Participant_Images/662a754842502c24dbb45384/662a754842502c24dbb45384_Images/662a754842502c24dbb45384_Image_4.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.5841,NAN,,NAN,0.12,5.88,,0,8,8,8,1,9,Alex,Acc,Participant_Images/662a754842502c24dbb45384/662a754842502c24dbb45384_Images/662a754842502c24dbb45384_Image_20.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,6,,,,,,space,3.5601,space,1.6876,2,0,0,0,0,1,Organize brunch outings with my close friends at our favorite cafe on sunday mornings,Practice yoga in my bedroom with calming candles and essential oils,0.01,0.02,3.3,0,0.02,2.9607,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,0,1,1,1,1,Go hiking on weekends with my family exploring new trails and taking in the views,Explore local thrift stores on a saturday afternoon searching for unique finds,0.02,0.02,1.1,0,0.02,4.006,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,0,2,2,2,1,Practice yoga in my bedroom with calming candles and essential oils,Host game nights with my friends in my living room while enjoying snacks and laughter,0.03,0.02,1.1,1,0.03,4.0257,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,9,,,,,,,,,,1,0,3,3,3,1,Explore local thrift stores on a saturday afternoon searching for unique finds,Organize brunch outings with my close friends at our favorite cafe on sunday mornings,0.04,0.02,4.4,1,0.04,4.4232,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,10,,,,,,,,,,2,0,4,4,4,1,Go hiking on weekends with my family exploring new trails and taking in the views,Practice yoga in my bedroom with calming candles and essential oils,0.05,0.02,1.1,0,0.02,2.8518,,,,
,,662a754842502c24dbb45384,6685aa9113c938e83b4f1ea0,66fee32265b467f14884b417,2024-10-03_14h32.44.084,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,NAN,,NAN,0.25,5.75,,0,9,9,9,1,10,Alex,Acc,Participant_Images/662a754842502c24dbb45384/662a754842502c24dbb45384_Images/662a754842502c24dbb45384_Image_15.jpeg,liked,1.672012706,,,,,,,,,,,,,,,,,,,,,,
