endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,6.577,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,space,19.8846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,space,2.5075,space,1.6695,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_24.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,2.008,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_17.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.123,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_16.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.9822,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Rej,Participant_Images/66ce33a40ac4984adc2e18c8/66ce33a40ac4984adc2e18c8_Images/66ce33a40ac4984adc2e18c8_Image_7.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,1,,,,,,space,1.2055,space,1.2884,,0,0,0,0,1,Cook and try out new recipes with my roommate on lazy sunday afternoons,Watch documentary films in the dim light of my living room on a sunday evening,0.01,0.01,4.4,0,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,1,1,1,1,Explore old vinyl records in my basement on a rainy weekend,Go to the farmers market and picking out fresh produce with my partner on saturday mornings,0.02,0.01,8.8,1,,,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,0,2,2,2,1,Write poetry at a local cafe with a cup of chai tea beside me,Play tennis with my neighbor at the community courts during late spring,0.03,0.01,3.3,1,0.03,4.7159,,,,
,,66ce33a40ac4984adc2e18c8,2024-10-01_13h13.32.894,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,0,3,3,3,1,Plan and executing diy craft projects with my close friends on rainy saturday afternoons,Explore old vinyl records in my basement on a rainy weekend,0.04,0.01,1.1,0,0.04,3.7328,,,,
