endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,15.5207,665fc69fe8d5562ac1294f30,2024-07-04_15h06.16.989,WTP_SM_Choice,2022.2.1,MacIntel,108.6956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,2024-07-04_15h06.16.989,WTP_SM_Choice,2022.2.1,MacIntel,108.6956522,space,0.7446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,2024-07-04_15h06.16.989,WTP_SM_Choice,2022.2.1,MacIntel,108.6956522,,,space,11.2499,space,1.1914,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Acc,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_12.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,2024-07-04_15h06.16.989,WTP_SM_Choice,2022.2.1,MacIntel,108.6956522,,,,,space,1.491,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Acc,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_5.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,2024-07-04_15h06.16.989,WTP_SM_Choice,2022.2.1,MacIntel,108.6956522,,,,,space,1.3915,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Acc,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_17.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,2024-07-04_15h06.16.989,WTP_SM_Choice,2022.2.1,MacIntel,108.6956522,,,,,space,1.4264,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Acc,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_16.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,2024-07-04_15h06.16.989,WTP_SM_Choice,2022.2.1,MacIntel,108.6956522,,,,,,,,,,,,,,,,,,1,,,,,,space,4.1698,space,3.0576,0.01,1,3.483,0,0,0,0,1,work on fixing my moped,eat fancy dinners with my girlfriend,0.01,0.01,4.4,,,,
,,665fc69fe8d5562ac1294f30,2024-07-04_15h06.16.989,WTP_SM_Choice,2022.2.1,MacIntel,108.6956522,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,1.3603,0,1,1,1,1,go on long walks by the train tracks,dance with my brother and his friends,0.02,0.01,8.8,,,,
,,665fc69fe8d5562ac1294f30,2024-07-04_15h06.16.989,WTP_SM_Choice,2022.2.1,MacIntel,108.6956522,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,1.4306,0,2,2,2,1,blast and danc to music with my dog,dance with my brother and his friends,0.03,0.01,3.3,,,,
,,665fc69fe8d5562ac1294f30,2024-07-04_15h06.16.989,WTP_SM_Choice,2022.2.1,MacIntel,108.6956522,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,1.4465,0,3,3,3,1,go on long walks by the train tracks,travel to other countries with friends,0.04,0.01,1.1,,,,
