endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.7223,NAN,,NAN,0.09,5.91,,0,6,6,6,1,7,Riley,Acc,Participant_Images/66202163d9e5dba57c5e831d/66202163d9e5dba57c5e831d_Images/66202163d9e5dba57c5e831d_Image_2.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.5831,NAN,,NAN,0.09,5.91,,0,7,7,7,1,8,Riley,Acc,Participant_Images/66202163d9e5dba57c5e831d/66202163d9e5dba57c5e831d_Images/66202163d9e5dba57c5e831d_Image_21.jpeg,did not like,2.843822497,,,,,,,,,,,,,,,,,,,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.2539,NAN,,NAN,0.09,5.91,,0,8,8,8,1,9,Riley,Acc,Participant_Images/66202163d9e5dba57c5e831d/66202163d9e5dba57c5e831d_Images/66202163d9e5dba57c5e831d_Image_16.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,6,,,,,,space,12.0053,space,1.4576,0.01,1,3.1468,0,0,0,0,1,watch a movie with my niece or nephew ,Scroll through facebook,0.01,0.02,3.3,0,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,2,2.5698,0,1,1,1,1,Make designs for my side business,Watch a movie with my friend,0.02,0.02,1.1,1,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,4.1754,0,2,2,2,1,Go for a drive with my dog roxie,Lay on my bed listening to music ,0.03,0.02,1.1,0,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.02,2,2.1523,0,3,3,3,1,Watch tv in my bedroom while laying on my bed,Go gambling with my mom ,0.04,0.02,4.4,1,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,1.8348,0,4,4,4,1,Go to the movie theater to watch a new movie that was just released,Go camping with my best friend ,0.05,0.02,1.1,1,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.18,5.82,,0,9,9,9,1,10,Riley,Acc,Participant_Images/66202163d9e5dba57c5e831d/66202163d9e5dba57c5e831d_Images/66202163d9e5dba57c5e831d_Image_17.jpeg,liked,1.672012706,,,,,,,,,,,,,,,,,,,,,,
,,66202163d9e5dba57c5e831d,2024-08-23_16h28.11.062,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.4489,NAN,,NAN,0.18,5.82,,0,10,10,10,1,11,Riley,Acc,Participant_Images/66202163d9e5dba57c5e831d/66202163d9e5dba57c5e831d_Images/66202163d9e5dba57c5e831d_Image_6.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,
