endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,6.8704,655e0b698915e40faa8002f2,2024-10-06_15h54.31.885,WTP_SM_Choice,2022.2.1,Win32,30.12048193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655e0b698915e40faa8002f2,2024-10-06_15h54.31.885,WTP_SM_Choice,2022.2.1,Win32,30.12048193,space,15.2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,655e0b698915e40faa8002f2,2024-10-06_15h54.31.885,WTP_SM_Choice,2022.2.1,Win32,30.12048193,,,space,14.9668,space,1.9007,NAN,,NAN,0,6,,0,0,0,0,1,1,Charlie,Rej,Participant_Images/655e0b698915e40faa8002f2/655e0b698915e40faa8002f2_Images/655e0b698915e40faa8002f2_Image_4.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,655e0b698915e40faa8002f2,2024-10-06_15h54.31.885,WTP_SM_Choice,2022.2.1,Win32,30.12048193,,,,,space,56.7731,NAN,,NAN,0,6,,0,1,1,1,1,2,Charlie,Rej,Participant_Images/655e0b698915e40faa8002f2/655e0b698915e40faa8002f2_Images/655e0b698915e40faa8002f2_Image_13.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,655e0b698915e40faa8002f2,2024-10-06_15h54.31.885,WTP_SM_Choice,2022.2.1,Win32,30.12048193,,,,,space,0.6178,NAN,,NAN,0,6,,0,2,2,2,1,3,Charlie,Rej,Participant_Images/655e0b698915e40faa8002f2/655e0b698915e40faa8002f2_Images/655e0b698915e40faa8002f2_Image_6.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,655e0b698915e40faa8002f2,2024-10-06_15h54.31.885,WTP_SM_Choice,2022.2.1,Win32,30.12048193,,,,,space,628.2186,NAN,,NAN,0,6,,0,3,3,3,1,4,Charlie,Rej,Participant_Images/655e0b698915e40faa8002f2/655e0b698915e40faa8002f2_Images/655e0b698915e40faa8002f2_Image_8.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,655e0b698915e40faa8002f2,2024-10-06_15h54.31.885,WTP_SM_Choice,2022.2.1,Win32,30.12048193,,,,,,,,,,,,,,,,,,1,,,,,,space,52.4241,space,6.2268,0.01,1,5.185,0,0,0,0,1,Cook a big meal together with my significant other in the kitchen on a weekend evening,listening to jackie hill  and preston perrys podcasts,0.01,0.01,4.4,0,,,,
,,655e0b698915e40faa8002f2,2024-10-06_15h54.31.885,WTP_SM_Choice,2022.2.1,Win32,30.12048193,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,5.3443,0,1,1,1,1,Play board games with friends in a cozy living room on a rainy saturday afternoon,watch netflix on the couch,0.02,0.01,8.8,0,,,,
,,655e0b698915e40faa8002f2,2024-10-06_15h54.31.885,WTP_SM_Choice,2022.2.1,Win32,30.12048193,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,4.1366,0,2,2,2,1,Attend a study session with classmates at a coffee shop on a wednesday evening,eat snacks in the bed ,0.03,0.01,3.3,0,,,,
,,655e0b698915e40faa8002f2,2024-10-06_15h54.31.885,WTP_SM_Choice,2022.2.1,Win32,30.12048193,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,3.7983,0,3,3,3,1,sit on my patio in the hot afternoon,Explore a local farmers market with my family on a sunny weekend morning,0.04,0.01,1.1,1,,,,
