endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,5.0688,667838be776b27f8705b6c3c,2024-07-17_16h33.25.976,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667838be776b27f8705b6c3c,2024-07-17_16h33.25.976,WTP_SM_Choice,2022.2.1,Win32,59.52380952,space,23.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667838be776b27f8705b6c3c,2024-07-17_16h33.25.976,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,space,3.8856,space,2.0865,NAN,,NAN,0,6,,0,0,0,0,1,1,Sam,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_9.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,667838be776b27f8705b6c3c,2024-07-17_16h33.25.976,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.5675,NAN,,NAN,0,6,,0,1,1,1,1,2,Sam,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_16.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,667838be776b27f8705b6c3c,2024-07-17_16h33.25.976,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.9518,NAN,,NAN,0,6,,0,2,2,2,1,3,Sam,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_6.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,667838be776b27f8705b6c3c,2024-07-17_16h33.25.976,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,3.4242,NAN,,NAN,0,6,,0,3,3,3,1,4,Sam,Rej,Participant_Images/667838be776b27f8705b6c3c/667838be776b27f8705b6c3c_Images/667838be776b27f8705b6c3c_Image_20.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,667838be776b27f8705b6c3c,2024-07-17_16h33.25.976,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,1,,,,,,space,37.8144,space,24.4077,0.01,1,3.4792,0,0,0,0,1,Do Yoga to relax the body,Have cookouts with family and friends,0.01,0.01,4.4,1,,,,
,,667838be776b27f8705b6c3c,2024-07-17_16h33.25.976,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,3.984,0,1,1,1,1,Vent with friends,Sleep to comfort the mind,0.02,0.01,8.8,0,,,,
,,667838be776b27f8705b6c3c,2024-07-17_16h33.25.976,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,4.4837,0,2,2,2,1,Listen to music ,work out with friends,0.03,0.01,3.3,1,,,,
,,667838be776b27f8705b6c3c,2024-07-17_16h33.25.976,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,3.1328,0,3,3,3,1,go camping with friends,participate in online studies,0.04,0.01,1.1,0,,,,
