endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,5.6625,665629a30c7e3f40e8f3d1d5,6685aa9113c938e83b4f1ea0,672d0355d5816a0516c551ea,2024-11-07_11h14.08.941,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,665629a30c7e3f40e8f3d1d5,6685aa9113c938e83b4f1ea0,672d0355d5816a0516c551ea,2024-11-07_11h14.08.941,WTP_SM_Choice,2022.2.1,Win32,59.52380952,space,22.1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,665629a30c7e3f40e8f3d1d5,6685aa9113c938e83b4f1ea0,672d0355d5816a0516c551ea,2024-11-07_11h14.08.941,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,space,16.5329,space,1.6331,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Acc,Participant_Images/665629a30c7e3f40e8f3d1d5/665629a30c7e3f40e8f3d1d5_Images/665629a30c7e3f40e8f3d1d5_Image_8.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,665629a30c7e3f40e8f3d1d5,6685aa9113c938e83b4f1ea0,672d0355d5816a0516c551ea,2024-11-07_11h14.08.941,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,1.5307,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Acc,Participant_Images/665629a30c7e3f40e8f3d1d5/665629a30c7e3f40e8f3d1d5_Images/665629a30c7e3f40e8f3d1d5_Image_23.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,665629a30c7e3f40e8f3d1d5,6685aa9113c938e83b4f1ea0,672d0355d5816a0516c551ea,2024-11-07_11h14.08.941,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.8622,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Acc,Participant_Images/665629a30c7e3f40e8f3d1d5/665629a30c7e3f40e8f3d1d5_Images/665629a30c7e3f40e8f3d1d5_Image_10.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,665629a30c7e3f40e8f3d1d5,6685aa9113c938e83b4f1ea0,672d0355d5816a0516c551ea,2024-11-07_11h14.08.941,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,space,0.72,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Acc,Participant_Images/665629a30c7e3f40e8f3d1d5/665629a30c7e3f40e8f3d1d5_Images/665629a30c7e3f40e8f3d1d5_Image_19.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,665629a30c7e3f40e8f3d1d5,6685aa9113c938e83b4f1ea0,672d0355d5816a0516c551ea,2024-11-07_11h14.08.941,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,1,,,,,,space,22.7082,space,7.6081,,0,0,0,0,1,Learn a new craft as I watch youtube videos of cats and baby animals,Hike in the mountains with my best friends and seeing the trees all change colors in the Fall,0.01,0.01,4.4,1,,,,,,
,,665629a30c7e3f40e8f3d1d5,6685aa9113c938e83b4f1ea0,672d0355d5816a0516c551ea,2024-11-07_11h14.08.941,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,0,1,1,1,1,Go to friday night bingo with my partner and winning the jackpot,Cuddling with my cats while making a pot of PG Tips Tea to sip on,0.02,0.01,8.8,0,0.02,5.4779,,,,
,,665629a30c7e3f40e8f3d1d5,6685aa9113c938e83b4f1ea0,672d0355d5816a0516c551ea,2024-11-07_11h14.08.941,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,0,2,2,2,1,Macrame time while watching my comfort shows on the television,Try to meet someone new and make a friend over coffee and brunch,0.03,0.01,3.3,1,0.01,4.7553,,,,
,,665629a30c7e3f40e8f3d1d5,6685aa9113c938e83b4f1ea0,672d0355d5816a0516c551ea,2024-11-07_11h14.08.941,WTP_SM_Choice,2022.2.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,0,3,3,3,1,Watch our comfort shows on the television and cuddling with my partner before bed,Collect rocks as I walk along the park on a beautiful cloudy day,0.04,0.01,1.1,0,0.01,3.71,,,,
