endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,decision_price,responses.rt,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,NAN,,NAN,0,6,,0,4,4,4,1,5,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_13.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,space,0.9521,NAN,,NAN,0,6,,0,5,5,5,1,6,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_12.jpeg,did not like,3.79605092,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,space,1.0466,NAN,,NAN,0,6,,0,6,6,6,1,7,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_19.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,space,12.5394,NAN,,NAN,0,6,,0,7,7,7,1,8,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_4.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,space,0.9356,NAN,,NAN,0,6,,0,8,8,8,1,9,Sam,Rej,Participant_Images/66f2946d0e3eeda7aa13eaa7/66f2946d0e3eeda7aa13eaa7_Images/66f2946d0e3eeda7aa13eaa7_Image_21.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,6,,,,,,space,0.3585,space,3.621,1,0,0,0,0,1,Go on vacations with my family,Help my brothers with questions and stuff,0.01,0.02,3.3,1,,0.01,5.6319,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,0,1,1,1,1,Help my brothers with questions and stuff,Go to the gym in the mornings,0.02,0.02,1.1,0,,0.02,2.1222,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,0,2,2,2,1,Do club activities with my clubmates,Go on vacations with my family,0.03,0.02,1.1,0,,0.03,0.9742,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,9,,,,,,,,,,1,0,3,3,3,1,Go out to parties downtown,Do club activities with my clubmates,0.04,0.02,4.4,1,,0.04,1.0893,,,
,,66f2946d0e3eeda7aa13eaa7,6685aa9113c938e83b4f1ea0,671c5d5f2c200a509db2303f,2024-10-25_23h09.42.051,WTP_SM_Choice,2022.2.1,Win32,75.18796992,,,,,,,,,,,,,,,,,,10,,,,,,,,,,1,0,4,4,4,1,Talk to my mom and grandparents over the phone,Go on vacations with my family,0.05,0.02,1.1,0,,0.05,0.8423,,,
