endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt,social_left
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,2.2522,NAN,,NAN,0.05,5.95,,0,8,8,8,1,9,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_15.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,6,,,,,,space,2.5924,space,1.2501,0.01,1,2.3031,0,0,0,0,1,Watch YouTube documentary videos about history,Play laser tag with my friends,0.01,0.02,3.3,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,1,4.9667,0,1,1,1,1,Do statistics research from my office,Drive around blasting music with my friends,0.02,0.02,1.1,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,3.6073,0,2,2,2,1,Clean my room after not cleaning it for a long time,Watch a movie with my girlfriend,0.03,0.02,1.1,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.02,2,2.6619,0,3,3,3,1,Lay down on the sand at the beach,Watch a movie with my girlfriend,0.04,0.02,4.4,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,3.1494,0,4,4,4,1,Practice cooking a new recipe in my kitchen,Discuss research with my advisor,0.05,0.02,1.1,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,NAN,,NAN,0.14,5.86,,0,9,9,9,1,10,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_11.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,2.067,NAN,,NAN,0.14,5.86,,0,10,10,10,1,11,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_6.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.8112,NAN,,NAN,0.14,5.86,,0,11,11,11,1,12,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_2.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.6507,NAN,,NAN,0.14,5.86,,0,12,12,12,1,13,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_21.jpeg,liked,2.071164779,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,2.0388,NAN,,NAN,0.14,5.86,,0,13,13,13,1,14,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_13.jpeg,did not like,5.336503566,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,11,,,,,,space,4.5428,space,2.8819,0.01,1,2.0203,0,0,0,0,1,Practice cooking a new recipe in my kitchen,Playchess with a friend,0.01,0.03,3.3,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,2.8665,0,1,1,1,1,Lay down on the sand at the beach,Celebrate christmas with my family,0.02,0.03,4.4,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,1,3.2902,0,2,2,2,1,Take a walk in my neighborhood on a sunny day,Read a book at a park with my girlfriend,0.03,0.03,1.1,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.03,2,2.8748,0,3,3,3,1,Do statistics research from my office,Go out to a restaurant with my family,0.04,0.03,3.3,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.03,2,2.9955,0,4,4,4,1,Play chess online against other people,Read a book at a park with my girlfriend,0.05,0.03,4.4,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,NAN,,NAN,0.26,5.74,,0,14,14,14,1,15,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_20.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,3.1202,NAN,,NAN,0.26,5.74,,0,15,15,15,1,16,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_5.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.837,NAN,,NAN,0.26,5.74,,0,16,16,16,1,17,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_23.jpeg,liked,4.438512181,,,,,,,,,,,,,,,,,,,,,,
