endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,1.327,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,space,0.8886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,space,9.3663,space,1.5339,NAN,,NAN,0,6,,0,0,0,0,1,1,Riley,Acc,Participant_Images/65f7fbb178b358ac91094fec/65f7fbb178b358ac91094fec_Images/65f7fbb178b358ac91094fec_Image_15.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,2.5886,NAN,,NAN,0,6,,0,1,1,1,1,2,Riley,Acc,Participant_Images/65f7fbb178b358ac91094fec/65f7fbb178b358ac91094fec_Images/65f7fbb178b358ac91094fec_Image_16.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,1.368,NAN,,NAN,0,6,,0,2,2,2,1,3,Riley,Acc,Participant_Images/65f7fbb178b358ac91094fec/65f7fbb178b358ac91094fec_Images/65f7fbb178b358ac91094fec_Image_3.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,1.3903,NAN,,NAN,0,6,,0,3,3,3,1,4,Riley,Acc,Participant_Images/65f7fbb178b358ac91094fec/65f7fbb178b358ac91094fec_Images/65f7fbb178b358ac91094fec_Image_21.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,1,,,,,,space,3.0076,space,2.5428,0.01,1,0.9788,0,0,0,0,1,Design layouts,Share a homemade dinner with close friends,0.01,0.01,4.4,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,0.9435,0,1,1,1,1,Exercise my body,Enjoy a beach day with my family,0.02,0.01,8.8,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,0.9587,0,2,2,2,1,Read a book,Enjoy a beach day with my family,0.03,0.01,3.3,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,1.2344,0,3,3,3,1,Read a book,Go on adventure with friends,0.04,0.01,1.1,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,0.7589,0,4,4,4,1,Meditate,Watch movies at the theatre with my family,0.05,0.01,1.1,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,NAN,,NAN,0.05,5.95,,0,4,4,4,1,5,Riley,Acc,Participant_Images/65f7fbb178b358ac91094fec/65f7fbb178b358ac91094fec_Images/65f7fbb178b358ac91094fec_Image_6.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,
,,65f7fbb178b358ac91094fec,2024-07-04_09h05.17.426,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,2.5196,NAN,,NAN,0.05,5.95,,0,5,5,5,1,6,Riley,Acc,Participant_Images/65f7fbb178b358ac91094fec/65f7fbb178b358ac91094fec_Images/65f7fbb178b358ac91094fec_Image_4.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,
