endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,entiretaskloop.order
space,1.6166,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,space,1.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,space,0.9401,space,0.6061,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_21.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.8062,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_5.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.6997,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_12.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.6163,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Acc,Participant_Images/66ed6bba745fee41cbe32310/66ed6bba745fee41cbe32310_Images/66ed6bba745fee41cbe32310_Image_23.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,1,,,,,,space,16.9156,space,3.6471,0.01,1,1.4764,0,0,0,0,1,explore new walking trails with my family,read in a quiet library that smells like old dusty books and has chairs in the aisles,0.01,0.01,4.4,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,2.2495,0,1,1,1,1,watch scary movies with my boyfriend,ride my bike to work on a breezy spring day,0.02,0.01,8.8,0,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,5.3,0,2,2,2,1,listen to music while i ride the train,explore new walking trails with my family,0.03,0.01,3.3,1,,,
,,66ed6bba745fee41cbe32310,6685aa9113c938e83b4f1ea0,670041a6574c320edf262918,2024-10-04_15h30.06.228,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,2.5242,0,3,3,3,1,listen to music while i ride the train,watch scary movies with my boyfriend,0.04,0.01,1.1,1,,,
