endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,key_resp.rt
space,6.793,65779c4bde34621ce896b77d,2024-04-16_11h06.11.187,WTP_SM_Choice,2022.2.1,Win32,11.99040767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65779c4bde34621ce896b77d,2024-04-16_11h06.11.187,WTP_SM_Choice,2022.2.1,Win32,11.99040767,space,19.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65779c4bde34621ce896b77d,2024-04-16_11h06.11.187,WTP_SM_Choice,2022.2.1,Win32,11.99040767,,,space,2.98,space,1.8458,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_20.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,
,,65779c4bde34621ce896b77d,2024-04-16_11h06.11.187,WTP_SM_Choice,2022.2.1,Win32,11.99040767,,,,,space,2.8434,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_4.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,
,,65779c4bde34621ce896b77d,2024-04-16_11h06.11.187,WTP_SM_Choice,2022.2.1,Win32,11.99040767,,,,,space,2.4993,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_7.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,
,,65779c4bde34621ce896b77d,2024-04-16_11h06.11.187,WTP_SM_Choice,2022.2.1,Win32,11.99040767,,,,,space,2.8441,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Rej,Participant_Images/65779c4bde34621ce896b77d/65779c4bde34621ce896b77d_Images/65779c4bde34621ce896b77d_Image_16.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,
,,65779c4bde34621ce896b77d,2024-04-16_11h06.11.187,WTP_SM_Choice,2022.2.1,Win32,11.99040767,,,,,,,,,,,,,,,,,,1,,,,,,space,18.5506,space,9.5098,0.01,1,8.0052,0,0,0,0,1,Playing Rocket League on my gaming laptop,Watching movies with my friends,0.01,0.01,4.4,,,
,,65779c4bde34621ce896b77d,2024-04-16_11h06.11.187,WTP_SM_Choice,2022.2.1,Win32,11.99040767,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,2.9585,0,1,1,1,1,Watching movies on amazon prime,Going to concerts with my friends,0.02,0.01,8.8,,,
,,65779c4bde34621ce896b77d,2024-04-16_11h06.11.187,WTP_SM_Choice,2022.2.1,Win32,11.99040767,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,3.4019,0,2,2,2,1,Going for bike rides on the harbor,Playing Rocket League with my friends,0.03,0.01,3.3,,,
,,65779c4bde34621ce896b77d,2024-04-16_11h06.11.187,WTP_SM_Choice,2022.2.1,Win32,11.99040767,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,2.6872,0,3,3,3,1,Watching movies on amazon prime,Going to cookouts with family and friends,0.04,0.01,1.1,,,
