endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,66757cddd8d92a5cbfda353f,6685aa9113c938e83b4f1ea0,670a6ac51e6355cbd15f3486,2024-10-12_08h26.35.815,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,1.4666,NAN,,NAN,0.09,5.91,,0,5,5,5,1,6,Alex,Acc,Participant_Images/66757cddd8d92a5cbfda353f/66757cddd8d92a5cbfda353f_Images/66757cddd8d92a5cbfda353f_Image_1.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,
,,66757cddd8d92a5cbfda353f,6685aa9113c938e83b4f1ea0,670a6ac51e6355cbd15f3486,2024-10-12_08h26.35.815,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,1.1516,NAN,,NAN,0.09,5.91,,0,6,6,6,1,7,Alex,Acc,Participant_Images/66757cddd8d92a5cbfda353f/66757cddd8d92a5cbfda353f_Images/66757cddd8d92a5cbfda353f_Image_24.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,,,
,,66757cddd8d92a5cbfda353f,6685aa9113c938e83b4f1ea0,670a6ac51e6355cbd15f3486,2024-10-12_08h26.35.815,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,0.8394,NAN,,NAN,0.09,5.91,,0,7,7,7,1,8,Alex,Acc,Participant_Images/66757cddd8d92a5cbfda353f/66757cddd8d92a5cbfda353f_Images/66757cddd8d92a5cbfda353f_Image_4.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,
,,66757cddd8d92a5cbfda353f,6685aa9113c938e83b4f1ea0,670a6ac51e6355cbd15f3486,2024-10-12_08h26.35.815,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,1.069,NAN,,NAN,0.09,5.91,,0,8,8,8,1,9,Alex,Acc,Participant_Images/66757cddd8d92a5cbfda353f/66757cddd8d92a5cbfda353f_Images/66757cddd8d92a5cbfda353f_Image_7.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,,,
,,66757cddd8d92a5cbfda353f,6685aa9113c938e83b4f1ea0,670a6ac51e6355cbd15f3486,2024-10-12_08h26.35.815,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,6,,,,,,space,22.4914,space,12.7649,1,0,0,0,0,1,Watch and listen to the rain with a candle lit,Go to the springs on the hottest day of the year with my friends,0.01,0.02,3.3,1,0.01,3.4323,,,,
,,66757cddd8d92a5cbfda353f,6685aa9113c938e83b4f1ea0,670a6ac51e6355cbd15f3486,2024-10-12_08h26.35.815,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,7,,,,,,,,,,1,0,1,1,1,1,Pet my cat in my room with no other distractions,Watch scary movies at night with friends,0.02,0.02,1.1,1,0.02,2.7884,,,,
,,66757cddd8d92a5cbfda353f,6685aa9113c938e83b4f1ea0,670a6ac51e6355cbd15f3486,2024-10-12_08h26.35.815,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,0,2,2,2,1,Put outfits together with the clothing that I have,Watch scary movies at night with friends,0.03,0.02,1.1,1,0.03,3.3391,,,,
,,66757cddd8d92a5cbfda353f,6685aa9113c938e83b4f1ea0,670a6ac51e6355cbd15f3486,2024-10-12_08h26.35.815,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,9,,,,,,,,,,2,0,3,3,3,1,Shop online for the best deals on things I need,Get my nails done at the salon with my sister,0.04,0.02,4.4,1,0.02,2.8637,,,,
,,66757cddd8d92a5cbfda353f,6685aa9113c938e83b4f1ea0,670a6ac51e6355cbd15f3486,2024-10-12_08h26.35.815,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,10,,,,,,,,,,1,0,4,4,4,1,Discover new restaurants to eat at with my family,Read a book in bed before falling asleep,0.05,0.02,1.1,0,0.05,2.5383,,,,
,,66757cddd8d92a5cbfda353f,6685aa9113c938e83b4f1ea0,670a6ac51e6355cbd15f3486,2024-10-12_08h26.35.815,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,,,NAN,,NAN,0.22,5.78,,0,9,9,9,1,10,Alex,Acc,Participant_Images/66757cddd8d92a5cbfda353f/66757cddd8d92a5cbfda353f_Images/66757cddd8d92a5cbfda353f_Image_23.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,
,,66757cddd8d92a5cbfda353f,6685aa9113c938e83b4f1ea0,670a6ac51e6355cbd15f3486,2024-10-12_08h26.35.815,WTP_SM_Choice,2022.2.1,Win32,59.88023952,,,,,space,0.4542,NAN,,NAN,0.22,5.78,,0,10,10,10,1,11,Alex,Acc,Participant_Images/66757cddd8d92a5cbfda353f/66757cddd8d92a5cbfda353f_Images/66757cddd8d92a5cbfda353f_Image_9.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,
