endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,left,right,social_left,WTP_ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,Resume_keys.keys,Resume_keys.rt,key_resp.rt
space,3.5779,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,space,0.1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,,,space,53.3133,space,2.5107,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Acc,Participant_Images/101/101_Images/101_Image_24.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,,,,,space,77.3074,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Acc,Participant_Images/101/101_Images/101_Image_9.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,,,,,space,0.4306,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Acc,Participant_Images/101/101_Images/101_Image_4.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,,,,,space,1.3592,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Acc,Participant_Images/101/101_Images/101_Image_1.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,space,0.4733,space,0.1779,0.01,1,1.115,0,0,0,0,1,one_1,one_1,0,4,0.01,0.01,green,0,1,1,,,
,,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,one_2,one_2,0,5,0.02,0.01,green,1,0,0,,,
,,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1,2.1931,0,2,2,2,1,one_3,one_3,0,6,0.03,0.01,green,1,0,0,,,
,,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1,1.693,0,3,3,3,1,one_4,one_4,0,1,0.04,0.01,green,1,0,0,,,
,,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,one_5,one_5,0,2,0.05,0.01,green,1,0,0,,,
,,101,2024-04-15_10h49.49.079,WTP_SM_Choice,2022.2.1,MacIntel,120.4819277,,,,,,,NAN,,NAN,0.08,5.92,,0,4,4,4,1,5,Alex,Acc,Participant_Images/101/101_Images/101_Image_3.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,,,,
