endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys
space,4.6781,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,space,14.2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,space,3.6695,space,2.6101,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Rej,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_15.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,space,1.2506,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Rej,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_7.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,space,1.0247,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Rej,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_1.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,space,0.9875,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Rej,Participant_Images/665fc69fe8d5562ac1294f30/665fc69fe8d5562ac1294f30_Images/665fc69fe8d5562ac1294f30_Image_11.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,,,,,,,,,,,,1,,,,,,space,11.0376,space,6.5974,0.01,1,6.888,0,0,0,0,1,work on fixing my moped,eat fancy dinners with my girlfriend,0.01,0.01,4.4,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,2.5061,0,1,1,1,1,go on long walks by the train tracks,dance with my brother and his friends,0.02,0.01,8.8,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,2.6318,0,2,2,2,1,blast and danc to music with my dog,dance with my brother and his friends,0.03,0.01,3.3,
,,665fc69fe8d5562ac1294f30,6685aa9113c938e83b4f1ea0,6685b65bc1a1d31152aa091e,2024-07-03_16h36.59.118,WTP_SM_Choice,2022.2.1,MacIntel,133.3333333,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,1.7866,0,3,3,3,1,go on long walks by the train tracks,travel to other countries with friends,0.04,0.01,1.1,
