endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt,social_left
space,5.9904,663e40120b553e7aa7f786b4,2024-06-26_16h50.10.710,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,663e40120b553e7aa7f786b4,2024-06-26_16h50.10.710,WTP_SM_Choice,2022.2.1,Win32,60.24096386,space,21.1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,663e40120b553e7aa7f786b4,2024-06-26_16h50.10.710,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,space,2.4941,space,1.8964,NAN,,NAN,0,6,,0,0,0,0,1,1,Charlie,Acc,Participant_Images/663e40120b553e7aa7f786b4/663e40120b553e7aa7f786b4_Images/663e40120b553e7aa7f786b4_Image_13.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,663e40120b553e7aa7f786b4,2024-06-26_16h50.10.710,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.1764,NAN,,NAN,0,6,,0,1,1,1,1,2,Charlie,Acc,Participant_Images/663e40120b553e7aa7f786b4/663e40120b553e7aa7f786b4_Images/663e40120b553e7aa7f786b4_Image_23.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,663e40120b553e7aa7f786b4,2024-06-26_16h50.10.710,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.9261,NAN,,NAN,0,6,,0,2,2,2,1,3,Charlie,Acc,Participant_Images/663e40120b553e7aa7f786b4/663e40120b553e7aa7f786b4_Images/663e40120b553e7aa7f786b4_Image_7.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,663e40120b553e7aa7f786b4,2024-06-26_16h50.10.710,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.9997,NAN,,NAN,0,6,,0,3,3,3,1,4,Charlie,Acc,Participant_Images/663e40120b553e7aa7f786b4/663e40120b553e7aa7f786b4_Images/663e40120b553e7aa7f786b4_Image_17.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,663e40120b553e7aa7f786b4,2024-06-26_16h50.10.710,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,1,,,,,,space,0.0671,space,11.1993,0.01,1,5.1477,0,0,0,0,1,Go to bed while there is a thunderstorm happening,Cook up new things with my friend Marlo and talk about the things we are into and recent things we have gotten absorbed in,0.01,0.01,4.4,,,,,1
,,663e40120b553e7aa7f786b4,2024-06-26_16h50.10.710,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,7.2027,0,1,1,1,1,Go to the gym and working out at my hardest,Show my stepdad and mom funny videos  memes or tiktoks and see their reactions,0.02,0.01,8.8,,,,,1
,,663e40120b553e7aa7f786b4,2024-06-26_16h50.10.710,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.01,2,3.3197,0,2,2,2,1,Go to bed while there is a thunderstorm happening,call my coworker after work and talk about our days on the way home,0.03,0.01,3.3,,,,,1
,,663e40120b553e7aa7f786b4,2024-06-26_16h50.10.710,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.01,2,5.1627,0,3,3,3,1,Bake something that will end up going to my sister and my nephew,Show my stepdad and mom funny videos  memes or tiktoks and see their reactions,0.04,0.01,1.1,,,,,1
