endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt,social_left
space,95.9728,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,space,12.4875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,space,2.7585,space,2.4188,NAN,,NAN,0,6,,0,0,0,0,1,1,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_8.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,2.8869,NAN,,NAN,0,6,,0,1,1,1,1,2,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_25.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,1.0973,NAN,,NAN,0,6,,0,2,2,2,1,3,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_10.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,space,0.6641,NAN,,NAN,0,6,,0,3,3,3,1,4,Charlie,Acc,Participant_Images/64c0a2d8031339ab6ec5e54a/64c0a2d8031339ab6ec5e54a_Images/64c0a2d8031339ab6ec5e54a_Image_17.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,,
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,1,,,,,,space,219.1965,space,4.0735,0.01,2,3.6299,0,0,0,0,1,Play video games by myself,Call my friend and talk about nothing for hours,0.01,0.01,4.4,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.02,1,5.0064,0,1,1,1,1,Play video games by myself,Walk around town and beyond for the entire da  talking about anything and eating anything with friends,0.02,0.01,8.8,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,3.7777,0,2,2,2,1,Play video games by myself,Joyride with my friends on electric scooters,0.03,0.01,3.3,,,,,,1
,,64c0a2d8031339ab6ec5e54a,2024-07-02_22h33.58.222,WTP_SM_Choice,2022.2.1,Win32,238.0952381,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,4.1717,0,3,3,3,1,Ride an electric scooter by myself and listening to music,Talk to each other about future business ventures and moves for the rest of the day.,0.04,0.01,1.1,,,,,,1
