endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,decision_price,responses.rt,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,4.1028,5f247332e02337051dc208aa,6685aa9113c938e83b4f1ea0,6723b54d8b0d1dc4b39513d7,2024-10-31_11h50.48.295,WTP_SM_Choice,2022.2.1,Win32,101.010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f247332e02337051dc208aa,6685aa9113c938e83b4f1ea0,6723b54d8b0d1dc4b39513d7,2024-10-31_11h50.48.295,WTP_SM_Choice,2022.2.1,Win32,101.010101,space,3.9165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5f247332e02337051dc208aa,6685aa9113c938e83b4f1ea0,6723b54d8b0d1dc4b39513d7,2024-10-31_11h50.48.295,WTP_SM_Choice,2022.2.1,Win32,101.010101,,,space,2.5139,space,0.4308,NAN,,NAN,0,6,,0,0,0,0,1,1,Sam,Rej,Participant_Images/5f247332e02337051dc208aa/5f247332e02337051dc208aa_Images/5f247332e02337051dc208aa_Image_22.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,5f247332e02337051dc208aa,6685aa9113c938e83b4f1ea0,6723b54d8b0d1dc4b39513d7,2024-10-31_11h50.48.295,WTP_SM_Choice,2022.2.1,Win32,101.010101,,,,,space,0.178,NAN,,NAN,0,6,,0,1,1,1,1,2,Sam,Rej,Participant_Images/5f247332e02337051dc208aa/5f247332e02337051dc208aa_Images/5f247332e02337051dc208aa_Image_1.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,5f247332e02337051dc208aa,6685aa9113c938e83b4f1ea0,6723b54d8b0d1dc4b39513d7,2024-10-31_11h50.48.295,WTP_SM_Choice,2022.2.1,Win32,101.010101,,,,,space,0.0203,NAN,,NAN,0,6,,0,2,2,2,1,3,Sam,Rej,Participant_Images/5f247332e02337051dc208aa/5f247332e02337051dc208aa_Images/5f247332e02337051dc208aa_Image_12.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,5f247332e02337051dc208aa,6685aa9113c938e83b4f1ea0,6723b54d8b0d1dc4b39513d7,2024-10-31_11h50.48.295,WTP_SM_Choice,2022.2.1,Win32,101.010101,,,,,space,0.2679,NAN,,NAN,0,6,,0,3,3,3,1,4,Sam,Rej,Participant_Images/5f247332e02337051dc208aa/5f247332e02337051dc208aa_Images/5f247332e02337051dc208aa_Image_6.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,5f247332e02337051dc208aa,6685aa9113c938e83b4f1ea0,6723b54d8b0d1dc4b39513d7,2024-10-31_11h50.48.295,WTP_SM_Choice,2022.2.1,Win32,101.010101,,,,,,,,,,,,,,,,,,1,,,,,,space,0.1438,space,0.2543,,0,0,0,0,1,Take my dog for a walk on cooler days,Play my favorite games with my close friends,0.01,0.01,4.4,1,,,,,,
,,5f247332e02337051dc208aa,6685aa9113c938e83b4f1ea0,6723b54d8b0d1dc4b39513d7,2024-10-31_11h50.48.295,WTP_SM_Choice,2022.2.1,Win32,101.010101,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,1,1,1,1,On drunk nights with my friends going to get food,Research and learn about global issues,0.02,0.01,8.8,0,,,,,,
,,5f247332e02337051dc208aa,6685aa9113c938e83b4f1ea0,6723b54d8b0d1dc4b39513d7,2024-10-31_11h50.48.295,WTP_SM_Choice,2022.2.1,Win32,101.010101,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0,2,2,2,1,Do the dishes after cooking my favorite meals,Watch funny tiktoks with my friends while we are hanging out,0.03,0.01,3.3,1,,,,,,
,,5f247332e02337051dc208aa,6685aa9113c938e83b4f1ea0,6723b54d8b0d1dc4b39513d7,2024-10-31_11h50.48.295,WTP_SM_Choice,2022.2.1,Win32,101.010101,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,0,3,3,3,1,Play my favorite games with my close friends,Research and learn about global issues,0.04,0.01,1.1,0,,,,,,
