Prolific_ID,SRQ_admiration,SRQ_negsocpot,SRQ_prosocint,SRQ_sexrel,SRQ_sociability
59d5888d21977e0001d630f3,5.75,1.0,7.0,1.0,5.0
5a09ebdf087f2e0001eae39f,5.5,1.4,6.0,3.6666666666666665,4.333333333333333
5c5c451500b69200011bb8bf,5.75,4.0,5.0,4.666666666666667,5.666666666666667
5c9d004ee3b6c40015254526,5.75,2.2,5.2,4.0,4.666666666666667
5cc3f0f9fdb33500018c5eeb,4.5,1.2,7.0,5.0,4.0
5ddce9f0f85b50c4fc1515a4,4.5,2.2,6.0,4.0,5.0
5de8613ddf86d37c8a8ab294,4.0,1.0,7.0,4.666666666666667,5.333333333333333
5e923888c38d4a574e72d716,4.25,1.4,6.8,2.0,3.3333333333333335
5efe8c25e921d23a9daec079,5.5,1.4,6.6,5.0,3.3333333333333335
5f0f5df48a1b1a114c3dacc5,5.0,1.6,7.0,4.0,4.666666666666667
5f247332e02337051dc208aa,5.25,1.4,6.6,5.333333333333333,4.0
5f32e865bd94490a64d9c9f5,5.75,1.6,6.6,5.666666666666667,2.6666666666666665
5f4a835e9e84256238129995,4.0,1.0,7.0,5.0,5.333333333333333
5fe23b5e1f2ef9db2ab8e5a0,6.0,1.4,7.0,7.0,6.333333333333333
60c7fd00cce7a43663968b17,5.5,3.6,6.2,6.0,3.6666666666666665
60c8467d9872c0d83f695499,6.75,1.0,7.0,4.0,2.0
60fd83ff5af11073b7d1ed62,5.25,2.6,6.2,6.333333333333333,5.666666666666667
610f303cfb519f6dc89edd5f,5.0,2.4,5.8,4.0,5.666666666666667
6111216b74cfd482d05ac02b,5.5,1.2,7.0,4.333333333333333,4.333333333333333
613aad30bcfed65155a026ec,7.0,1.0,7.0,7.0,7.0
61528277afcb4906d01e0442,4.0,1.6,6.6,5.0,2.3333333333333335
61741ba984f258d5c6a1303c,6.0,2.6,5.8,6.0,6.0
62865af5a1e349260f58cdf7,5.75,2.4,6.0,3.3333333333333335,4.666666666666667
63d161e70272bba9f3f70980,7.0,1.0,7.0,4.0,3.0
63d432e27555fb4b5785cfcd,4.5,1.8,5.8,5.333333333333333,5.333333333333333
64c0a2d8031339ab6ec5e54a,4.75,3.4,6.6,7.0,5.666666666666667
65412ca42e0e2fbb27b8a7b2,6.0,2.0,6.0,5.333333333333333,6.0
655e0b698915e40faa8002f2,5.25,2.0,6.0,4.666666666666667,4.666666666666667
6560aa71bf5cc31f1c99ca34,6.0,2.0,6.6,7.0,4.0
65624dbc33b93e2696f06d1f,5.0,1.2,5.6,4.0,3.3333333333333335
65779c4bde34621ce896b77d,4.25,1.6,5.4,4.666666666666667,4.666666666666667
659cc63ff59c72a20e2b7688,5.5,2.6,5.6,4.666666666666667,6.333333333333333
65b7ba948f5c3052140c24f8,6.25,1.4,7.0,6.0,6.333333333333333
65c14027646a9bbfa89584c8,7.0,1.0,7.0,7.0,5.0
65d65821b5e4f4fb6de9076c,6.25,2.0,6.8,5.333333333333333,6.666666666666667
65d659edd2fb402f9170d123,6.75,1.0,7.0,4.666666666666667,3.3333333333333335
65e4124826438fd6dc97bd7e,5.5,1.8,6.4,4.666666666666667,4.333333333333333
65f54bfd77f3db0d47887b37,6.5,1.0,7.0,2.0,3.6666666666666665
65f7fbb178b358ac91094fec,6.75,2.2,6.8,7.0,6.0
65fb2f8291cf16104e63effc,4.75,1.0,7.0,5.666666666666667,3.0
6600a119385d8631c41cd795,6.5,1.0,7.0,7.0,5.666666666666667
6601a1251731342a7891c4f1,6.75,2.0,6.0,4.0,6.333333333333333
660482648009855d3c92ce84,6.75,1.8,6.4,4.666666666666667,5.666666666666667
661fee35973b5ff6fa3418ef,5.75,2.0,5.4,6.0,6.666666666666667
66202163d9e5dba57c5e831d,6.0,2.2,6.2,3.3333333333333335,3.0
6627722f249e56fcefd07b8c,6.0,1.6,6.6,7.0,5.333333333333333
662a754842502c24dbb45384,5.5,2.4,5.8,6.0,5.666666666666667
662fad6b6f397a64efc67680,5.0,1.0,6.8,1.3333333333333333,2.3333333333333335
6637ca249e9c662fac63cfcb,4.25,1.4,5.6,6.666666666666667,3.6666666666666665
663a7379aca69d9c20130cd1,5.5,1.0,6.8,4.333333333333333,4.0
663e40120b553e7aa7f786b4,6.75,1.2,7.0,3.3333333333333335,4.333333333333333
663e5cf112f5d047cf5c9fad,6.75,1.0,7.0,7.0,2.6666666666666665
6643c34315b04d498e71017e,3.5,1.0,6.6,1.3333333333333333,1.6666666666666667
6645a794be029b87060615aa,6.25,2.6,6.8,5.666666666666667,5.333333333333333
66463e4efb99fba5a67a010a,4.0,1.4,6.8,4.666666666666667,4.333333333333333
66465b2522d14ab162ff2dbd,7.0,1.0,6.8,6.333333333333333,2.0
665629a30c7e3f40e8f3d1d5,5.75,1.2,7.0,1.0,2.0
665fc69fe8d5562ac1294f30,5.25,2.0,6.2,6.333333333333333,5.666666666666667
6665fb9d3202800c8227cde5,7.0,1.0,7.0,5.333333333333333,5.666666666666667
66661b49621ea96feaf4f6f3,4.25,1.0,5.8,5.0,4.666666666666667
6669a122ab60c120f94b3aa5,4.0,3.4,4.0,4.0,2.3333333333333335
666e123eb6aff45cf5be575e,7.0,1.0,6.8,1.3333333333333333,6.0
6670297f1e47e468c3605ef4,4.25,1.2,7.0,4.0,6.0
66757cddd8d92a5cbfda353f,5.5,1.4,6.8,5.0,5.0
6676fab6295042ff191ead64,5.5,3.4,5.6,5.666666666666667,4.333333333333333
667838be776b27f8705b6c3c,6.0,2.0,6.0,5.0,4.333333333333333
667981cd5ba91c2ae804e4f3,6.0,1.0,6.8,4.333333333333333,5.666666666666667
6679bdceaa28479dfe378bb6,6.75,1.2,6.8,7.0,6.333333333333333
66800683809f48e85f663f86,4.75,1.4,6.2,1.0,2.3333333333333335
6683b31d16dd162d502a8b00,5.75,2.4,6.6,5.666666666666667,5.0
6686247e6177b8b37bdd0463,5.0,3.2,5.8,6.666666666666667,3.3333333333333335
668beeeac6158723009d2b8a,5.75,1.2,6.8,6.0,5.666666666666667
668d5a454e51f2df12027e26,6.0,1.0,7.0,5.0,6.0
66946e3054a30a2bf5b1be40,6.0,1.8,6.6,7.0,5.666666666666667
66a049748b57caf868c3179d,4.75,1.0,6.2,2.0,3.3333333333333335
66a08dccc5cc029fc23a96a8,6.5,3.2,6.8,4.0,6.333333333333333
66ada0d8b8ddd62c65d39bfe,6.25,3.8,6.6,7.0,6.0
66b92d3b18295c1e6c125b85,4.0,2.2,5.6,4.0,5.333333333333333
66ba909954ae8842a7c369a4,4.0,4.4,4.4,4.666666666666667,5.333333333333333
66c0df311f98d7c9661669d9,3.0,1.2,6.2,1.0,5.0
66c95504723c57c900715764,3.75,3.0,5.2,2.0,3.3333333333333335
66ce33a40ac4984adc2e18c8,6.75,2.2,6.8,4.0,5.666666666666667
66d2d920fb76c49f098b9397,5.25,1.0,6.8,5.333333333333333,5.333333333333333
66d9609fbac7758ed890cece,4.5,1.2,7.0,4.666666666666667,4.333333333333333
66dc48cea9a85fe230c06b5f,7.0,3.4,6.4,7.0,6.666666666666667
66ed6bba745fee41cbe32310,7.0,1.4,6.8,5.666666666666667,7.0
66f0a1d13629250f84bc2598,3.75,4.0,6.0,7.0,4.666666666666667
66f0bbf2ad2ccf85f492cbcb,6.5,2.6,7.0,7.0,5.666666666666667
66f16ff603404dbb816cc517,5.5,2.6,6.8,5.0,5.0
66f2946d0e3eeda7aa13eaa7,4.5,3.8,3.8,5.0,4.0
66f42a85953065aa4cc9d751,6.0,2.2,6.2,4.333333333333333,4.0
66f899c9525316803c5d75c0,6.5,3.2,6.2,6.333333333333333,6.0
6700d6aca79c6b2534f6292c,6.25,1.8,6.6,7.0,6.333333333333333
6704251bcdca04fef23d385d,3.75,1.0,5.6,1.0,1.0
67094d6215b6d0fe3e8c3e39,6.0,2.4,6.0,5.666666666666667,5.666666666666667
670d326c55fa3d6f10ebe253,6.75,1.4,6.8,2.3333333333333335,5.333333333333333
6711f493bfc7c4e11953872d,7.0,2.0,6.8,3.3333333333333335,5.0
671469967e2a4f2e612e3846,7.0,1.0,7.0,6.333333333333333,6.666666666666667
6722ca2b1f3ebd2d544608c3,7.0,1.4,7.0,3.0,6.0
