Prolific_ID,BCRS_total_score
59d5888d21977e0001d630f3,20
5a09ebdf087f2e0001eae39f,14
5c5c451500b69200011bb8bf,15
5c9d004ee3b6c40015254526,16
5cc3f0f9fdb33500018c5eeb,13
5ddce9f0f85b50c4fc1515a4,15
5de8613ddf86d37c8a8ab294,16
5e923888c38d4a574e72d716,15
5efe8c25e921d23a9daec079,17
5f0f5df48a1b1a114c3dacc5,16
5f247332e02337051dc208aa,15
5f32e865bd94490a64d9c9f5,16
5f4a835e9e84256238129995,16
5fe23b5e1f2ef9db2ab8e5a0,17
60c7fd00cce7a43663968b17,16
60c8467d9872c0d83f695499,12
60fd83ff5af11073b7d1ed62,15
610f303cfb519f6dc89edd5f,16
6111216b74cfd482d05ac02b,15
613aad30bcfed65155a026ec,18
61528277afcb4906d01e0442,16
61741ba984f258d5c6a1303c,15
62865af5a1e349260f58cdf7,14
63d161e70272bba9f3f70980,15
63d432e27555fb4b5785cfcd,11
64c0a2d8031339ab6ec5e54a,19
65412ca42e0e2fbb27b8a7b2,16
655e0b698915e40faa8002f2,20
6560aa71bf5cc31f1c99ca34,18
65624dbc33b93e2696f06d1f,17
65779c4bde34621ce896b77d,15
659cc63ff59c72a20e2b7688,13
65b7ba948f5c3052140c24f8,17
65c14027646a9bbfa89584c8,16
65d65821b5e4f4fb6de9076c,17
65d659edd2fb402f9170d123,18
65e4124826438fd6dc97bd7e,17
65f54bfd77f3db0d47887b37,17
65f7fbb178b358ac91094fec,18
65fb2f8291cf16104e63effc,16
6600a119385d8631c41cd795,19
6601a1251731342a7891c4f1,17
660482648009855d3c92ce84,18
661fee35973b5ff6fa3418ef,16
66202163d9e5dba57c5e831d,13
6627722f249e56fcefd07b8c,17
662a754842502c24dbb45384,14
662fad6b6f397a64efc67680,15
6637ca249e9c662fac63cfcb,17
663a7379aca69d9c20130cd1,18
663e40120b553e7aa7f786b4,14
663e5cf112f5d047cf5c9fad,16
6643c34315b04d498e71017e,16
6645a794be029b87060615aa,16
66463e4efb99fba5a67a010a,20
66465b2522d14ab162ff2dbd,9
665629a30c7e3f40e8f3d1d5,15
665fc69fe8d5562ac1294f30,17
6665fb9d3202800c8227cde5,19
66661b49621ea96feaf4f6f3,15
6669a122ab60c120f94b3aa5,12
666e123eb6aff45cf5be575e,17
6670297f1e47e468c3605ef4,16
66757cddd8d92a5cbfda353f,15
6676fab6295042ff191ead64,13
667838be776b27f8705b6c3c,13
667981cd5ba91c2ae804e4f3,15
6679bdceaa28479dfe378bb6,17
66800683809f48e85f663f86,11
6683b31d16dd162d502a8b00,15
6686247e6177b8b37bdd0463,15
668beeeac6158723009d2b8a,16
668d5a454e51f2df12027e26,13
66946e3054a30a2bf5b1be40,18
66a049748b57caf868c3179d,15
66a08dccc5cc029fc23a96a8,19
66ada0d8b8ddd62c65d39bfe,11
66b92d3b18295c1e6c125b85,14
66ba909954ae8842a7c369a4,13
66c0df311f98d7c9661669d9,13
66c95504723c57c900715764,13
66ce33a40ac4984adc2e18c8,20
66d2d920fb76c49f098b9397,19
66d9609fbac7758ed890cece,15
66dc48cea9a85fe230c06b5f,18
66ed6bba745fee41cbe32310,19
66f0a1d13629250f84bc2598,18
66f0bbf2ad2ccf85f492cbcb,18
66f16ff603404dbb816cc517,18
66f2946d0e3eeda7aa13eaa7,13
66f42a85953065aa4cc9d751,15
66f899c9525316803c5d75c0,13
6700d6aca79c6b2534f6292c,17
6704251bcdca04fef23d385d,13
67094d6215b6d0fe3e8c3e39,16
670d326c55fa3d6f10ebe253,19
6711f493bfc7c4e11953872d,19
671469967e2a4f2e612e3846,19
6722ca2b1f3ebd2d544608c3,14
