Prolific_ID,ERQ_emosuppression,ERQ_cogreappraisal
568d286ab5a2c2000cb6a91c,3.0,5.166666666666667
595727bd7c76640001aa8f6e,5.75,3.3333333333333335
5a4636c92f91ec0001dcba07,4.25,5.0
5ad2c8334d061300011b1985,3.0,6.833333333333333
5adef850eb60400001539109,5.25,4.166666666666667
5aec7e89ae13140001fc0cdf,3.0,4.5
5b6c312fa1fda800015fe165,1.75,5.833333333333333
5bcc60b95c2b810001dc68e2,4.0,4.166666666666667
5c1c74700036a80001193c24,3.0,5.666666666666667
5c1edaeaafeeef00011588b3,3.25,4.833333333333333
5c3272172f0f3500010284c0,4.5,5.166666666666667
5cab944b41de360017e2c3db,2.5,5.5
5d55d562e04e1c0001f5e682,1.0,4.333333333333333
5dcb685070d51c8275d7bd54,3.5,5.0
5dee8ee31255595293a9906b,6.0,6.666666666666667
5ec75df0d799ae1c11a8115c,1.5,5.333333333333333
5eefc651cb94ad4c4d017b86,4.25,4.0
5f16f559325a640008bb9a07,2.0,5.833333333333333
5f32bc368853aa03df112fc6,2.75,2.8333333333333335
5f985596be2ea910b23827ed,4.5,4.833333333333333
5f9873550513db147c9d2958,5.25,1.6666666666666667
5fd18d125e1f92195b1717bc,4.75,3.5
5ff27bb4ad8fba794c1b96fa,2.0,6.833333333333333
6056bcf1cee7a41435889255,2.25,4.166666666666667
605b5b5feff0e95f2cd60834,2.5,5.5
608209b96e955ba5201eff25,3.5,4.333333333333333
60bff9298f56d55c8ecd9adf,5.0,4.0
60d2b326161a622cd363268a,3.5,1.3333333333333333
60dbf4d94a3b5564b68881e8,4.5,3.0
60ea57c074a703877f04330b,4.75,5.166666666666667
60ef2700e476748689a999f7,1.25,6.166666666666667
60f4e3ab507bbb123f866e88,3.5,7.0
60fcebba7345a976efc9c080,4.75,5.166666666666667
60fd56db5fe37ebeca00bc83,2.75,5.5
60fd5a99c4e4ead0c9a6fff4,3.25,2.8333333333333335
60fd80b85dd6b22f66d16822,6.25,5.166666666666667
60fd89617258b322c92fdd03,3.0,5.5
60fdb9ec6c3006abe82e5182,4.75,3.6666666666666665
60fec21e36a05990cfa8a715,4.25,5.0
60ff33eea57872b7188f12e2,2.25,4.833333333333333
60ff830d7a7cce48e1787ba2,1.0,5.0
610024bfd6e1038ba3b1601d,3.75,5.5
6100652c5329da76a962cdb3,3.5,3.6666666666666665
61006614d4c56450afce3a6b,4.5,2.6666666666666665
61006f43a84b82fb439d7cba,2.75,4.166666666666667
610247cdbc9b348fd6601cb3,5.25,5.833333333333333
610367ad785ce86ceb8d201c,2.75,4.5
6107f902de5549cbdf72cbe1,2.75,4.833333333333333
61084dbab48ab21fce452554,6.25,3.0
6112c911a83cc494df38b468,4.75,5.5
6112dccad39227e361c13866,4.5,2.1666666666666665
6116f60ae8f48f7d1244e8d3,5.75,5.833333333333333
612e6569f68929afb886fb5c,5.0,2.1666666666666665
61338374ecef87bfdfd1c7bb,5.75,3.8333333333333335
6154a88b71a7f4347658b0f7,1.25,1.6666666666666667
615a084387075364a7462335,4.75,3.6666666666666665
62a1ed3d1357f3e033ae44f9,5.0,5.0
62a885d5b6af18b3d4579e1b,1.0,2.1666666666666665
62fb84322433c8d7e890a145,4.0,3.5
630386f64c5bbd56ab1c3b0f,4.25,3.5
631f3abc8826b6e7e8982648,3.5,3.1666666666666665
63235c5bf70d8e4f79b205cd,5.5,4.666666666666667
6346da55c3bf67b0dbf06272,4.75,3.1666666666666665
63ced670c8d001d1d5057140,3.0,4.0
63d13e2a6dd3ec4a5f6bff7b,3.25,3.0
63d3f98237a95683bfa381e3,4.75,5.666666666666667
63d3f9d0ab6c170778b0d3d1,4.25,5.166666666666667
63d4019999c9ab839156014c,3.25,6.0
63d40481d12fc9cc4c1adab0,5.25,5.333333333333333
63d5bb0d1cc3800ad1e343dc,5.0,5.333333333333333
63d5e3bf4a739d1158b9ce64,2.25,3.5
63d7c5cbacd85e95302f3a62,6.25,5.0
63d7ec164d40c184be89bf34,4.0,6.666666666666667
63d7f2b15b4a5938642f3a7b,1.5,1.0
63ddc6baab6a2130b8a41bf7,4.5,5.666666666666667
63e51e528df11f83a1aacab8,2.75,5.333333333333333
63e52399159a69bf0ea848c6,3.0,4.833333333333333
63ea4ab1ce4168cbe9f63775,4.75,5.666666666666667
63eac31811a6da58d4f32d76,3.5,5.5
63fac97f0d4e8f6bfd753d90,4.5,4.0
6400d8ca785ee04d9b02ae9c,4.5,5.666666666666667
64023a98627b1116180dff0b,2.25,4.0
641361334c91a0c6ff4c5b79,3.25,5.666666666666667
641a3df3c874807a1a8734bc,3.75,2.8333333333333335
