Prolific_ID,BCRS_total_score
568d286ab5a2c2000cb6a91c,16
595727bd7c76640001aa8f6e,15
5a4636c92f91ec0001dcba07,14
5ad2c8334d061300011b1985,18
5adef850eb60400001539109,15
5aec7e89ae13140001fc0cdf,16
5b6c312fa1fda800015fe165,16
5bcc60b95c2b810001dc68e2,16
5c1c74700036a80001193c24,16
5c1edaeaafeeef00011588b3,19
5c3272172f0f3500010284c0,16
5cab944b41de360017e2c3db,18
5d55d562e04e1c0001f5e682,17
5dcb685070d51c8275d7bd54,16
5dee8ee31255595293a9906b,19
5ec75df0d799ae1c11a8115c,17
5eefc651cb94ad4c4d017b86,13
5f16f559325a640008bb9a07,17
5f32bc368853aa03df112fc6,16
5f985596be2ea910b23827ed,15
5f9873550513db147c9d2958,18
5fd18d125e1f92195b1717bc,17
5ff27bb4ad8fba794c1b96fa,15
6056bcf1cee7a41435889255,15
605b5b5feff0e95f2cd60834,17
608209b96e955ba5201eff25,14
60bff9298f56d55c8ecd9adf,15
60d2b326161a622cd363268a,8
60dbf4d94a3b5564b68881e8,12
60ea57c074a703877f04330b,19
60ef2700e476748689a999f7,17
60f4e3ab507bbb123f866e88,16
60fcebba7345a976efc9c080,14
60fd56db5fe37ebeca00bc83,15
60fd5a99c4e4ead0c9a6fff4,12
60fd80b85dd6b22f66d16822,15
60fd89617258b322c92fdd03,18
60fdb9ec6c3006abe82e5182,14
60fec21e36a05990cfa8a715,16
60ff33eea57872b7188f12e2,17
60ff830d7a7cce48e1787ba2,14
610024bfd6e1038ba3b1601d,17
6100652c5329da76a962cdb3,15
61006614d4c56450afce3a6b,15
61006f43a84b82fb439d7cba,16
610247cdbc9b348fd6601cb3,13
610367ad785ce86ceb8d201c,18
6107f902de5549cbdf72cbe1,15
61084dbab48ab21fce452554,17
6112c911a83cc494df38b468,12
6112dccad39227e361c13866,16
6116f60ae8f48f7d1244e8d3,14
612e6569f68929afb886fb5c,15
61338374ecef87bfdfd1c7bb,16
6154a88b71a7f4347658b0f7,15
615a084387075364a7462335,13
62a1ed3d1357f3e033ae44f9,16
62a885d5b6af18b3d4579e1b,15
62fb84322433c8d7e890a145,11
630386f64c5bbd56ab1c3b0f,8
631f3abc8826b6e7e8982648,15
63235c5bf70d8e4f79b205cd,17
6346da55c3bf67b0dbf06272,18
63ced670c8d001d1d5057140,15
63d13e2a6dd3ec4a5f6bff7b,12
63d3f98237a95683bfa381e3,17
63d3f9d0ab6c170778b0d3d1,13
63d4019999c9ab839156014c,16
63d40481d12fc9cc4c1adab0,17
63d5bb0d1cc3800ad1e343dc,14
63d5e3bf4a739d1158b9ce64,9
63d7c5cbacd85e95302f3a62,12
63d7ec164d40c184be89bf34,12
63d7f2b15b4a5938642f3a7b,12
63ddc6baab6a2130b8a41bf7,16
63e51e528df11f83a1aacab8,19
63e52399159a69bf0ea848c6,16
63ea4ab1ce4168cbe9f63775,15
63eac31811a6da58d4f32d76,20
63fac97f0d4e8f6bfd753d90,13
6400d8ca785ee04d9b02ae9c,17
64023a98627b1116180dff0b,16
641361334c91a0c6ff4c5b79,14
641a3df3c874807a1a8734bc,13
