PROLIFIC_ID,AQ,BRCS,ERQ_emosuppression,ERQ_cogreappraisal,NTBS,PSS,RSQ,SCS,SRQ_admiration,SRQ_negsocpot,SRQ_prosocint,SRQ_sexrel,SRQ_sociability
61006614d4c56450afce3a6b,24.0,16,3.0,5.166666667,34,25,11.0,77,2.5,1.0,7.0,3.0,2.666666667
5eefc651cb94ad4c4d017b86,33.0,15,5.75,3.333333333,31,29,19.25,38,5.25,2.8,5.6,5.666666667,5.666666667
5a4636c92f91ec0001dcba07,32.0,14,4.25,5.0,38,17,4.0,74,4.0,1.0,6.2,4.666666667,4.666666667
5ff27bb4ad8fba794c1b96fa,11.0,18,3.0,6.833333333,32,10,9.5,102,6.25,1.2,7.0,3.666666667,4.333333333
5ec75df0d799ae1c11a8115c,21.0,15,5.25,4.166666667,30,21,10.375,59,6.0,2.2,5.8,5.0,5.333333333
61338374ecef87bfdfd1c7bb,20.0,16,3.0,4.5,33,26,13.5,75,5.75,2.2,6.2,5.666666667,6.333333333
610024bfd6e1038ba3b1601d,14.0,16,1.75,5.833333333,33,23,10.625,69,5.5,1.0,6.8,2.666666667,4.333333333
5dee8ee31255595293a9906b,32.0,16,4.0,4.166666667,33,2,6.5,107,4.75,4.0,4.6,3.0,3.333333333
60bff9298f56d55c8ecd9adf,7.0,18,1.0,5.0,34,5,6.375,116,7.0,1.0,7.0,7.0,6.666666667
5f16f559325a640008bb9a07,8.0,17,1.0,4.333333333,38,4,10.625,116,7.0,1.0,7.0,7.0,6.666666667
60fcebba7345a976efc9c080,14.0,16,3.5,5.0,28,19,11.875,89,5.0,2.0,5.4,5.0,5.333333333
5adef850eb60400001539109,28.0,19,6.0,6.666666667,26,3,5.75,70,5.25,1.4,6.2,6.0,3.333333333
5ad2c8334d061300011b1985,17.0,17,1.5,5.333333333,32,16,5.875,100,6.0,1.0,6.8,5.0,6.0
5d55d562e04e1c0001f5e682,31.0,13,4.25,4.0,36,15,11.875,86,7.0,1.4,6.6,6.0,6.333333333
63d5bb0d1cc3800ad1e343dc,13.0,17,2.0,5.833333333,33,8,10.625,108,4.25,1.4,4.0,3.666666667,4.333333333
60dbf4d94a3b5564b68881e8,31.0,16,2.75,2.833333333,25,28,11.25,67,5.0,1.0,7.0,1.0,5.333333333
630386f64c5bbd56ab1c3b0f,43.0,18,5.25,1.666666667,33,30,16.375,40,5.0,1.0,6.2,5.333333333,3.333333333
63e52399159a69bf0ea848c6,23.0,17,4.75,3.5,35,18,12.875,69,5.75,3.4,5.8,5.666666667,6.0
5dcb685070d51c8275d7bd54,19.0,15,2.0,6.833333333,36,23,11.75,77,6.75,1.0,7.0,6.666666667,6.333333333
631f3abc8826b6e7e8982648,18.0,15,2.25,4.166666667,29,24,13.125,64,5.25,2.0,7.0,4.0,3.666666667
60ef2700e476748689a999f7,14.0,17,2.5,5.5,34,13,5.875,63,5.5,1.6,6.2,2.666666667,5.0
63235c5bf70d8e4f79b205cd,42.0,14,3.5,4.333333333,30,25,4.75,55,5.5,2.8,6.0,3.666666667,5.333333333
63e51e528df11f83a1aacab8,13.0,15,5.0,4.0,28,17,12.125,81,2.25,1.0,7.0,6.0,2.333333333
5f32bc368853aa03df112fc6,30.0,8,3.5,1.333333333,40,30,8.875,49,7.0,3.0,5.8,5.333333333,5.0
6154a88b71a7f4347658b0f7,33.0,12,4.5,3.0,37,40,13.75,20,6.0,3.0,5.6,2.0,5.666666667
60fd5a99c4e4ead0c9a6fff4,16.0,17,1.25,6.166666667,27,9,6.625,117,3.5,1.0,7.0,7.0,4.666666667
6056bcf1cee7a41435889255,18.0,16,3.5,7.0,35,10,3.25,120,6.0,2.0,6.0,3.666666667,6.0
63d40481d12fc9cc4c1adab0,18.0,14,4.75,5.166666667,33,15,11.25,89,5.0,2.2,6.2,4.0,4.0
60ff33eea57872b7188f12e2,17.0,15,2.75,5.5,35,22,7.0,69,5.75,1.4,6.6,4.0,3.0
62a885d5b6af18b3d4579e1b,13.0,12,3.25,2.833333333,26,27,10.25,75,4.5,1.6,5.8,4.0,4.333333333
63ced670c8d001d1d5057140,26.0,15,6.25,5.166666667,34,18,12.125,47,3.25,1.2,5.8,4.333333333,2.333333333
63eac31811a6da58d4f32d76,16.0,18,3.0,5.5,36,9,10.0,109,6.25,2.2,6.8,4.666666667,6.0
60fd80b85dd6b22f66d16822,30.0,14,4.75,3.666666667,30,19,11.125,75,4.0,4.0,5.0,4.0,5.0
63d13e2a6dd3ec4a5f6bff7b,21.0,17,2.25,4.833333333,38,21,6.375,55,7.0,1.0,7.0,1.666666667,5.666666667
6112dccad39227e361c13866,26.0,17,3.75,5.5,24,17,10.125,88,6.0,1.0,6.8,6.333333333,6.0
62fb84322433c8d7e890a145,10.0,15,4.5,2.666666667,33,27,7.5,110,4.25,1.0,7.0,5.0,4.666666667
608209b96e955ba5201eff25,18.0,16,2.75,4.166666667,33,25,12.25,98,5.5,1.4,6.6,4.0,5.666666667
63d7c5cbacd85e95302f3a62,10.0,18,2.75,4.5,42,29,5.375,72,6.5,1.4,7.0,3.0,6.333333333
5b6c312fa1fda800015fe165,26.0,17,6.25,3.0,39,18,15.25,68,6.0,1.2,7.0,3.0,3.666666667
605b5b5feff0e95f2cd60834,21.0,16,4.5,2.166666667,36,24,9.75,69,6.0,2.0,6.2,5.666666667,6.0
60fdb9ec6c3006abe82e5182,34.0,15,5.0,2.166666667,30,28,8.375,48,3.25,4.0,6.8,7.0,3.333333333
63ddc6baab6a2130b8a41bf7,27.0,16,5.75,3.833333333,28,22,9.875,62,3.75,2.0,6.4,6.0,5.0
60fd56db5fe37ebeca00bc83,21.0,15,1.25,1.666666667,27,23,8.125,98,5.5,3.8,5.6,4.0,4.0
63d3f98237a95683bfa381e3,38.0,13,4.75,3.666666667,37,27,11.625,56,5.5,1.0,6.6,5.666666667,2.333333333
63fac97f0d4e8f6bfd753d90,24.0,16,3.5,7.0,30,3,3.0,68,5.75,2.0,7.0,5.0,6.333333333
628f827eeb876ed2617881e7,17.0,16,5.0,5.0,28,20,10.0,94,5.5,2.2,5.6,6.666666667,5.333333333
63d3f9d0ab6c170778b0d3d1,14.0,15,1.0,2.166666667,34,0,3.0,120,5.25,2.4,6.2,5.333333333,4.666666667
5f9873550513db147c9d2958,26.0,11,4.0,3.5,33,28,16.0,50,5.0,1.8,5.8,6.666666667,4.0
610367ad785ce86ceb8d201c,32.0,8,4.25,3.5,30,2,10.875,67,4.5,2.0,5.6,2.666666667,2.666666667
60d2b326161a622cd363268a,20.0,15,3.5,3.166666667,39,25,7.5,76,7.0,1.6,6.8,4.0,6.0
