Prolific_ID,DII_dysfuntionalimpulsivity,DII_functionalimpulsivity
568d286ab5a2c2000cb6a91c,3,4
595727bd7c76640001aa8f6e,2,6
5a4636c92f91ec0001dcba07,3,5
5ad2c8334d061300011b1985,2,7
5adef850eb60400001539109,2,7
5aec7e89ae13140001fc0cdf,6,7
5b6c312fa1fda800015fe165,2,3
5bcc60b95c2b810001dc68e2,1,3
5c1c74700036a80001193c24,5,5
5c1edaeaafeeef00011588b3,3,5
5c3272172f0f3500010284c0,2,5
5cab944b41de360017e2c3db,2,6
5d55d562e04e1c0001f5e682,2,7
5dcb685070d51c8275d7bd54,2,3
5dee8ee31255595293a9906b,1,6
5ec75df0d799ae1c11a8115c,3,8
5eefc651cb94ad4c4d017b86,2,4
5f16f559325a640008bb9a07,2,5
5f32bc368853aa03df112fc6,6,8
5f985596be2ea910b23827ed,3,4
5f9873550513db147c9d2958,2,5
5fd18d125e1f92195b1717bc,5,7
5ff27bb4ad8fba794c1b96fa,3,3
6056bcf1cee7a41435889255,3,4
605b5b5feff0e95f2cd60834,1,7
608209b96e955ba5201eff25,2,4
60bff9298f56d55c8ecd9adf,2,4
60d2b326161a622cd363268a,4,4
60dbf4d94a3b5564b68881e8,2,5
60ea57c074a703877f04330b,3,6
60ef2700e476748689a999f7,3,4
60f4e3ab507bbb123f866e88,2,6
60fcebba7345a976efc9c080,2,4
60fd56db5fe37ebeca00bc83,2,6
60fd5a99c4e4ead0c9a6fff4,5,5
60fd80b85dd6b22f66d16822,2,5
60fd89617258b322c92fdd03,6,6
60fdb9ec6c3006abe82e5182,5,3
60fec21e36a05990cfa8a715,3,1
60ff33eea57872b7188f12e2,2,4
60ff830d7a7cce48e1787ba2,1,5
610024bfd6e1038ba3b1601d,2,5
6100652c5329da76a962cdb3,1,3
61006614d4c56450afce3a6b,7,7
61006f43a84b82fb439d7cba,3,8
610247cdbc9b348fd6601cb3,1,6
610367ad785ce86ceb8d201c,2,5
6107f902de5549cbdf72cbe1,2,8
61084dbab48ab21fce452554,2,5
6112c911a83cc494df38b468,5,6
6112dccad39227e361c13866,2,8
6116f60ae8f48f7d1244e8d3,2,3
612e6569f68929afb886fb5c,6,7
61338374ecef87bfdfd1c7bb,3,7
6154a88b71a7f4347658b0f7,2,6
615a084387075364a7462335,2,5
62a1ed3d1357f3e033ae44f9,4,7
62a885d5b6af18b3d4579e1b,2,6
62fb84322433c8d7e890a145,6,5
630386f64c5bbd56ab1c3b0f,2,5
631f3abc8826b6e7e8982648,5,7
63235c5bf70d8e4f79b205cd,1,8
6346da55c3bf67b0dbf06272,5,4
63ced670c8d001d1d5057140,4,5
63d13e2a6dd3ec4a5f6bff7b,4,6
63d3f98237a95683bfa381e3,3,6
63d3f9d0ab6c170778b0d3d1,3,6
63d4019999c9ab839156014c,1,6
63d40481d12fc9cc4c1adab0,4,9
63d5bb0d1cc3800ad1e343dc,2,5
63d5e3bf4a739d1158b9ce64,2,5
63d7c5cbacd85e95302f3a62,1,4
63d7ec164d40c184be89bf34,6,5
63d7f2b15b4a5938642f3a7b,2,5
63ddc6baab6a2130b8a41bf7,7,6
63e51e528df11f83a1aacab8,4,4
63e52399159a69bf0ea848c6,1,7
63ea4ab1ce4168cbe9f63775,0,3
63eac31811a6da58d4f32d76,7,8
63fac97f0d4e8f6bfd753d90,4,5
6400d8ca785ee04d9b02ae9c,3,5
64023a98627b1116180dff0b,7,6
641361334c91a0c6ff4c5b79,5,6
641a3df3c874807a1a8734bc,4,8
