participant,condition_recode,salience_mean,choice,stress_mean,stress_mean.1,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order,overallaffect,prop_socialchoice,social_left,social_decisionprice_mean,nonsocial_decisionprice_mean,overall_decisionprice_social,overall_decisionprice_nonsocial,decision_price,overall_prop_social_choice,social_price,nonsocial_price,value_diff,valuediff_mean
59d5888d21977e0001d630f3,1,2.0,1.38,7.0,7.0,-1.0,,1.24,1.0,25.0,1,12,7.5,0.52,,0.023076923076923,0.025,0.023076923076923,0.0229166666666666,,0.52,,,,-0.001923076923077003
5a09ebdf087f2e0001eae39f,1,2.5,1.58,2.0,2.0,-1.0,,1.98,4.0,32.0,1,12,2.5,0.58,,0.0293103448275862,0.0319047619047619,0.0292063492063492,0.0321621621621621,,0.63,,,,-0.0025944170771757015
5c5c451500b69200011bb8bf,1,1.5,1.34,5.0,5.0,1.5,,1.22,3.0,32.0,0,21,4.25,0.66,,0.03,0.0364705882352941,0.0303125,0.0325,,0.64,,,,-0.006470588235294103
5c9d004ee3b6c40015254526,1,2.5,1.46,3.5,3.5,0.5,,2.12,3.0,27.0,0,12,3.25,0.5,,0.022,0.0232,0.0220754716981132,0.0231914893617021,,0.53,,,,-0.0011999999999999997
5cc3f0f9fdb33500018c5eeb,1,2.0,1.5,7.0,7.0,-1.5,,0.72,2.0,31.0,1,21,7.75,0.54,,0.0225925925925925,0.0217391304347826,0.0254545454545454,0.0238181818181818,,0.4444444444444444,,,,0.0008534621578098998
5ddce9f0f85b50c4fc1515a4,1,1.5,1.54,4.0,4.0,-1.0,,2.16,1.0,34.0,0,21,4.5,0.64,,0.02375,0.0222222222222222,0.025593220338983,0.02175,,0.5959595959595959,,,,0.0015277777777778015
5de8613ddf86d37c8a8ab294,1,3.0,1.48,4.5,4.5,0.5,,0.28,2.0,23.0,1,21,4.25,0.64,,0.0290624999999999,0.0316666666666666,0.0284745762711864,0.0288571428571428,,0.6276595744680851,,,,-0.002604166666666699
5e923888c38d4a574e72d716,1,4.0,1.46,7.5,7.5,0.0,,2.8,0.0,23.0,1,21,7.5,0.66,,0.0275757575757575,0.0252941176470588,0.0277464788732394,0.0255172413793103,,0.71,,,,0.0022816399286986998
5efe8c25e921d23a9daec079,1,1.5,1.4565217391304348,8.0,8.0,-0.5,,3.565217391304348,5.0,30.0,1,12,8.25,0.8478260869565217,,0.0305128205128205,0.0328571428571428,0.0336363636363636,0.032,,0.6875,,,,-0.0023443223443222992
5f0f5df48a1b1a114c3dacc5,1,1.0,1.431818181818182,2.0,2.0,-1.5,,2.863636363636364,2.0,22.0,1,12,2.75,0.4772727272727273,,0.0419047619047619,0.0291304347826087,0.0389130434782608,0.0343478260869565,,0.5,,,,0.012774327122153203
5f247332e02337051dc208aa,1,3.0,1.4666666666666666,5.5,5.5,0.0,,1.2,2.0,28.0,0,12,5.5,0.3777777777777777,,0.0247058823529411,0.0282142857142857,0.0248717948717948,0.0291071428571428,,0.4105263157894737,,,,-0.0035084033613446003
5f32e865bd94490a64d9c9f5,1,1.0,1.54,3.5,3.5,-2.5,,1.68,1.0,35.0,0,12,4.75,0.6,,0.028,0.0285,0.0282089552238806,0.0306060606060606,,0.67,,,,-0.0005000000000000004
5f4a835e9e84256238129995,1,2.0,1.46,5.5,5.5,1.0,,2.04,6.0,33.0,1,12,5.0,0.6,,0.028,0.0215,0.0285245901639344,0.0238461538461538,,0.61,,,,0.006500000000000002
5fe23b5e1f2ef9db2ab8e5a0,1,2.0,1.4,4.0,4.0,0.5,,2.02,1.0,33.0,0,12,3.75,0.76,,0.0247368421052631,0.0274999999999999,0.0273076923076923,0.0227272727272727,,0.78,,,,-0.0027631578947368007
60c7fd00cce7a43663968b17,1,2.5,1.3125,3.0,3.0,0.5,,2.645833333333333,4.0,21.0,0,12,2.75,0.5416666666666666,,0.0311538461538461,0.0254545454545454,0.0304081632653061,0.0282978723404255,,0.5104166666666666,,,,0.005699300699300702
60c8467d9872c0d83f695499,1,1.0,1.38,3.0,3.0,-1.0,,1.26,2.0,30.0,1,12,3.5,0.58,,0.0272413793103448,0.0271428571428571,0.0247058823529411,0.0253061224489795,,0.51,,,,9.852216748770098e-05
60fd83ff5af11073b7d1ed62,1,2.0,1.56,6.5,6.5,0.5,,3.16,2.0,24.0,1,12,6.25,0.54,,0.03,0.027391304347826,0.0301587301587301,0.0266666666666666,,0.6363636363636364,,,,0.002608695652174
610f303cfb519f6dc89edd5f,1,2.0,1.44,2.0,2.0,0.0,,2.3,1.0,24.0,0,12,2.0,0.5,,0.0248,0.0252,0.0242592592592592,0.025,,0.54,,,,-0.00040000000000000105
6111216b74cfd482d05ac02b,1,1.0,1.46,3.5,3.5,0.0,,0.98,2.0,22.0,1,21,3.5,1.0,,0.0296,0.0,0.0312121212121212,0.03,,0.99,,,,0.0296
613aad30bcfed65155a026ec,1,1.5,1.489795918367347,1.5,1.5,-7.5,,2.2448979591836733,3.0,27.0,1,21,5.25,0.5102040816326531,,0.0212,0.0233333333333333,0.0237999999999999,0.0235416666666666,,0.5102040816326531,,,,-0.0021333333333332996
61528277afcb4906d01e0442,1,3.0,1.5555555555555556,2.5,2.5,-5.5,,2.2888888888888888,2.0,32.0,1,12,5.25,0.7777777777777778,,0.0368571428571428,0.037,0.0336842105263157,0.0305263157894736,,0.8,,,,-0.00014285714285720147
61741ba984f258d5c6a1303c,1,3.5,1.4583333333333333,5.0,5.0,-1.5,,2.2916666666666665,4.0,27.0,0,12,5.75,0.6458333333333334,,0.0235483870967742,0.0258823529411764,0.0225806451612903,0.0241666666666666,,0.6326530612244898,,,,-0.0023339658444022013
62865af5a1e349260f58cdf7,1,4.0,1.56,2.5,2.5,-2.5,,2.34,3.0,26.0,1,21,3.75,0.42,,0.0214285714285714,0.0286206896551724,0.0224444444444444,0.0274545454545454,,0.45,,,,-0.007192118226600999
