TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_25.jpeg,did not like,3.613205605
2,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_17.jpeg,did not like,4.988446431
3,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_13.jpeg,liked,3.470791822
4,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_18.jpeg,did not like,3.820572462
5,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_1.jpeg,did not like,2.455989137
6,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_21.jpeg,liked,3.79605092
7,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_8.jpeg,liked,3.562416326
8,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_2.jpeg,did not like,2.843822497
9,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_15.jpeg,liked,3.546495948
10,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_20.jpeg,did not like,1.672012706
11,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_6.jpeg,liked,4.942172136
12,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_16.jpeg,did not like,2.50187214
13,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_11.jpeg,liked,2.071164779
14,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_4.jpeg,did not like,5.336503566
15,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_24.jpeg,did not like,2.642157193
16,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_3.jpeg,liked,4.456234322
17,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_14.jpeg,did not like,4.438512181
18,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_23.jpeg,did not like,2.682944783
19,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_7.jpeg,did not like,4.51984296
20,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_9.jpeg,did not like,3.195382774
21,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_22.jpeg,did not like,1.779333479
22,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_19.jpeg,did not like,4.312468682
23,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_5.jpeg,did not like,4.940433059
24,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_12.jpeg,did not like,2.7105123
25,Charlie,Rej,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_10.jpeg,did not like,3.602308302
26,Riley,Acc,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_21.jpeg,did not like,4.106391878
27,Riley,Acc,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_24.jpeg,liked,3.799433026
28,Riley,Acc,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_20.jpeg,did not like,5.246980764
29,Riley,Acc,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_1.jpeg,did not like,3.30081769
30,Riley,Acc,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_23.jpeg,liked,1.661473164
31,Riley,Acc,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_9.jpeg,liked,3.613205605
32,Riley,Acc,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_10.jpeg,liked,4.988446431
33,Riley,Acc,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_12.jpeg,did not like,3.470791822
34,Riley,Acc,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_7.jpeg,liked,3.820572462
35,Riley,Acc,Participant_Images/667d08e12ac1bcbdd829a936/667d08e12ac1bcbdd829a936_Images/667d08e12ac1bcbdd829a936_Image_17.jpeg,liked,2.455989137
