TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_5.jpeg,liked,3.613205605
2,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_24.jpeg,liked,4.988446431
3,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_1.jpeg,liked,3.470791822
4,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_17.jpeg,liked,3.820572462
5,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_10.jpeg,did not like,2.455989137
6,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_8.jpeg,liked,3.79605092
7,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_23.jpeg,liked,3.562416326
8,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_16.jpeg,liked,2.843822497
9,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_15.jpeg,liked,3.546495948
10,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_14.jpeg,did not like,1.672012706
11,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_2.jpeg,liked,4.942172136
12,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_20.jpeg,liked,2.50187214
13,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_19.jpeg,liked,2.071164779
14,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_13.jpeg,liked,5.336503566
15,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_3.jpeg,did not like,2.642157193
16,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_9.jpeg,did not like,4.456234322
17,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_25.jpeg,did not like,4.438512181
18,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_18.jpeg,liked,2.682944783
19,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_12.jpeg,did not like,4.51984296
20,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_11.jpeg,liked,3.195382774
21,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_22.jpeg,liked,1.779333479
22,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_4.jpeg,liked,4.312468682
23,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_6.jpeg,liked,4.940433059
24,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_7.jpeg,liked,2.7105123
25,Riley,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_21.jpeg,did not like,3.602308302
26,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_4.jpeg,liked,4.106391878
27,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_11.jpeg,liked,3.799433026
28,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_6.jpeg,did not like,5.246980764
29,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_9.jpeg,liked,3.30081769
30,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_23.jpeg,liked,1.661473164
31,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_19.jpeg,liked,3.613205605
32,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_22.jpeg,liked,4.988446431
33,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_1.jpeg,liked,3.470791822
34,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_25.jpeg,liked,3.820572462
35,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_13.jpeg,liked,2.455989137
36,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_2.jpeg,liked,3.79605092
37,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_5.jpeg,did not like,3.562416326
38,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_12.jpeg,liked,2.843822497
39,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_14.jpeg,did not like,3.546495948
40,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_18.jpeg,liked,1.672012706
41,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_24.jpeg,liked,4.942172136
42,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_20.jpeg,did not like,2.50187214
43,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_8.jpeg,liked,2.071164779
44,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_3.jpeg,did not like,5.336503566
45,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_16.jpeg,liked,2.642157193
46,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_15.jpeg,did not like,4.456234322
47,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_17.jpeg,liked,4.438512181
48,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_7.jpeg,liked,2.682944783
49,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_21.jpeg,did not like,4.51984296
50,Sam,Acc,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_10.jpeg,liked,3.195382774
51,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_8.jpeg,did not like,1.779333479
52,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_14.jpeg,did not like,4.312468682
53,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_17.jpeg,did not like,4.940433059
54,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_9.jpeg,did not like,2.7105123
55,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_22.jpeg,did not like,3.602308302
56,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_5.jpeg,liked,4.106391878
57,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_15.jpeg,did not like,3.799433026
58,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_12.jpeg,did not like,5.246980764
59,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_4.jpeg,did not like,3.30081769
60,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_3.jpeg,did not like,1.661473164
61,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_7.jpeg,liked,3.613205605
62,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_13.jpeg,liked,4.988446431
63,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_11.jpeg,did not like,3.470791822
64,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_18.jpeg,did not like,3.820572462
65,Charlie,Rej,Participant_Images/6704251bcdca04fef23d385d/6704251bcdca04fef23d385d_Images/6704251bcdca04fef23d385d_Image_21.jpeg,did not like,2.455989137
