TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_13.jpeg,liked,3.613205605
2,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_3.jpeg,liked,4.988446431
3,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_4.jpeg,liked,3.470791822
4,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_23.jpeg,liked,3.820572462
5,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_7.jpeg,liked,2.455989137
6,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_17.jpeg,did not like,3.79605092
7,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_19.jpeg,liked,3.562416326
8,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_16.jpeg,liked,2.843822497
9,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_6.jpeg,did not like,3.546495948
10,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_20.jpeg,liked,1.672012706
11,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_1.jpeg,liked,4.942172136
12,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_21.jpeg,did not like,2.50187214
13,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_14.jpeg,liked,2.071164779
14,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_10.jpeg,liked,5.336503566
15,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_9.jpeg,did not like,2.642157193
16,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_24.jpeg,liked,4.456234322
17,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_25.jpeg,liked,4.438512181
18,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_5.jpeg,liked,2.682944783
19,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_8.jpeg,liked,4.51984296
20,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_18.jpeg,liked,3.195382774
21,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_22.jpeg,did not like,1.779333479
22,Riley,Acc,Participant_Images/66c95504723c57c900715764/66c95504723c57c900715764_Images/66c95504723c57c900715764_Image_2.jpeg,did not like,4.312468682
