TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_16.jpeg,did not like,3.613205605
2,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_25.jpeg,liked,4.988446431
3,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_1.jpeg,did not like,3.470791822
4,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_15.jpeg,did not like,3.820572462
5,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_19.jpeg,did not like,2.455989137
6,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_9.jpeg,did not like,3.79605092
7,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_12.jpeg,did not like,3.562416326
8,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_2.jpeg,did not like,2.843822497
9,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_17.jpeg,liked,3.546495948
10,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_21.jpeg,liked,1.672012706
11,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_22.jpeg,liked,4.942172136
12,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_7.jpeg,did not like,2.50187214
13,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_13.jpeg,liked,2.071164779
14,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_11.jpeg,did not like,5.336503566
15,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_3.jpeg,did not like,2.642157193
16,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_18.jpeg,did not like,4.456234322
17,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_6.jpeg,did not like,4.438512181
18,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_20.jpeg,liked,2.682944783
19,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_8.jpeg,did not like,4.51984296
20,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_14.jpeg,did not like,3.195382774
21,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_5.jpeg,did not like,1.779333479
22,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_24.jpeg,did not like,4.312468682
23,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_23.jpeg,liked,4.940433059
24,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_4.jpeg,did not like,2.7105123
25,Alex,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_10.jpeg,did not like,3.602308302
26,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_21.jpeg,did not like,4.106391878
27,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_17.jpeg,did not like,3.799433026
28,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_22.jpeg,liked,5.246980764
29,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_8.jpeg,did not like,3.30081769
30,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_18.jpeg,did not like,1.661473164
31,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_4.jpeg,did not like,3.613205605
32,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_2.jpeg,did not like,4.988446431
33,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_5.jpeg,liked,3.470791822
34,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_10.jpeg,did not like,3.820572462
35,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_23.jpeg,liked,2.455989137
36,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_15.jpeg,did not like,3.79605092
37,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_11.jpeg,liked,3.562416326
38,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_25.jpeg,liked,2.843822497
39,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_20.jpeg,did not like,3.546495948
40,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_6.jpeg,did not like,1.672012706
41,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_19.jpeg,did not like,4.942172136
42,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_12.jpeg,did not like,2.50187214
43,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_1.jpeg,did not like,2.071164779
44,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_24.jpeg,did not like,5.336503566
45,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_3.jpeg,did not like,2.642157193
46,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_14.jpeg,did not like,4.456234322
47,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_7.jpeg,liked,4.438512181
48,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_9.jpeg,liked,2.682944783
49,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_16.jpeg,did not like,4.51984296
50,Sam,Rej,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_13.jpeg,did not like,3.195382774
51,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_24.jpeg,liked,1.779333479
52,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_21.jpeg,did not like,4.312468682
53,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_13.jpeg,liked,4.940433059
54,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_10.jpeg,liked,2.7105123
55,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_14.jpeg,did not like,3.602308302
56,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_15.jpeg,liked,4.106391878
57,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_3.jpeg,liked,3.799433026
58,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_7.jpeg,liked,5.246980764
59,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_2.jpeg,liked,3.30081769
60,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_18.jpeg,liked,1.661473164
61,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_16.jpeg,liked,3.613205605
62,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_1.jpeg,liked,4.988446431
63,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_12.jpeg,liked,3.470791822
64,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_22.jpeg,did not like,3.820572462
65,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_20.jpeg,liked,2.455989137
66,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_17.jpeg,liked,3.79605092
67,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_11.jpeg,liked,3.562416326
68,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_6.jpeg,liked,2.843822497
69,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_23.jpeg,liked,3.546495948
70,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_5.jpeg,liked,1.672012706
71,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_25.jpeg,did not like,4.942172136
72,Riley,Acc,Participant_Images/66ba909954ae8842a7c369a4/66ba909954ae8842a7c369a4_Images/66ba909954ae8842a7c369a4_Image_4.jpeg,did not like,2.50187214
