Prolific_ID,SCS_score
59d5888d21977e0001d630f3,107
5a09ebdf087f2e0001eae39f,88
5c5c451500b69200011bb8bf,83
5c9d004ee3b6c40015254526,99
5cc3f0f9fdb33500018c5eeb,90
5d27e4e24ea8d100170b3c61,82
5ddce9f0f85b50c4fc1515a4,75
5de8613ddf86d37c8a8ab294,115
5e923888c38d4a574e72d716,35
5efe8c25e921d23a9daec079,93
5f0f5df48a1b1a114c3dacc5,64
5f247332e02337051dc208aa,64
5f32e865bd94490a64d9c9f5,64
5f4a835e9e84256238129995,117
5fe23b5e1f2ef9db2ab8e5a0,112
60c7fd00cce7a43663968b17,89
60c8467d9872c0d83f695499,29
60fd83ff5af11073b7d1ed62,92
610f303cfb519f6dc89edd5f,92
6111216b74cfd482d05ac02b,120
613aad30bcfed65155a026ec,87
61528277afcb4906d01e0442,64
61741ba984f258d5c6a1303c,78
62865af5a1e349260f58cdf7,78
63d161e70272bba9f3f70980,55
63d432e27555fb4b5785cfcd,88
64c0a2d8031339ab6ec5e54a,110
65412ca42e0e2fbb27b8a7b2,86
65412ca42e0e2fbb27b8a7b2,86
655e0b698915e40faa8002f2,70
6560aa71bf5cc31f1c99ca34,65
65624dbc33b93e2696f06d1f,59
65624dbc33b93e2696f06d1f,67
65779c4bde34621ce896b77d,72
659cc63ff59c72a20e2b7688,83
65b7ba948f5c3052140c24f8,108
65c14027646a9bbfa89584c8,97
65d65821b5e4f4fb6de9076c,97
65d659edd2fb402f9170d123,76
65e4124826438fd6dc97bd7e,43
65f54bfd77f3db0d47887b37,32
65f7fbb178b358ac91094fec,120
65fb2f8291cf16104e63effc,66
6600a119385d8631c41cd795,79
6601a1251731342a7891c4f1,103
660482648009855d3c92ce84,93
661fee35973b5ff6fa3418ef,93
66202163d9e5dba57c5e831d,75
6627722f249e56fcefd07b8c,52
662a754842502c24dbb45384,95
662fad6b6f397a64efc67680,37
6637ca249e9c662fac63cfcb,47
663a7379aca69d9c20130cd1,66
663e40120b553e7aa7f786b4,83
663e5cf112f5d047cf5c9fad,63
6643c34315b04d498e71017e,34
6645a794be029b87060615aa,75
66463e4efb99fba5a67a010a,76
66465b2522d14ab162ff2dbd,38
665629a30c7e3f40e8f3d1d5,70
665fc69fe8d5562ac1294f30,98
6665fb9d3202800c8227cde5,98
66661b49621ea96feaf4f6f3,107
6669a122ab60c120f94b3aa5,70
6669a122ab60c120f94b3aa5,64
666e123eb6aff45cf5be575e,87
6670297f1e47e468c3605ef4,109
66757cddd8d92a5cbfda353f,82
6676fab6295042ff191ead64,54
667838be776b27f8705b6c3c,74
667981cd5ba91c2ae804e4f3,120
6679bdceaa28479dfe378bb6,98
66800683809f48e85f663f86,28
6683b31d16dd162d502a8b00,88
6686247e6177b8b37bdd0463,77
668beeeac6158723009d2b8a,99
668d5a454e51f2df12027e26,43
66946e3054a30a2bf5b1be40,106
66a049748b57caf868c3179d,57
66a08dccc5cc029fc23a96a8,100
66ada0d8b8ddd62c65d39bfe,106
66b92d3b18295c1e6c125b85,102
66ba909954ae8842a7c369a4,79
66c0df311f98d7c9661669d9,76
66c0f86657bd4b8a294856a0,37
66c95504723c57c900715764,55
66ce33a40ac4984adc2e18c8,105
66ce33a40ac4984adc2e18c8,117
66d1c31af69e6526d2e16b8a,90
66d2d920fb76c49f098b9397,103
66d83fb0c75a948077515b49,79
66d9609fbac7758ed890cece,76
66dc48cea9a85fe230c06b5f,96
66ed6bba745fee41cbe32310,81
66f0a1d13629250f84bc2598,72
66f0bbf2ad2ccf85f492cbcb,99
66f16ff603404dbb816cc517,63
66f2946d0e3eeda7aa13eaa7,61
66f42a85953065aa4cc9d751,73
66f899c9525316803c5d75c0,93
6700d6aca79c6b2534f6292c,78
6704251bcdca04fef23d385d,44
67094d6215b6d0fe3e8c3e39,98
670d326c55fa3d6f10ebe253,94
670d326c55fa3d6f10ebe253,79
6711f493bfc7c4e11953872d,56
671469967e2a4f2e612e3846,87
6722ca2b1f3ebd2d544608c3,57
