Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6685af650021b8bd7859518c,66312c5a4b47cc24d7b28a22,APPROVED,Not Applicable,2024-07-03T20:07:01.942000Z,2024-07-11T21:21:35.385000Z,2024-07-11T21:21:36.204000Z,2024-07-11T21:21:36.331160Z,695674.0,Manual Completion,148,28,Male,Asian,United States,United States,United States,English,No,Full-Time
6685b00a1230841aa1ee398d,65f7fbb178b358ac91094fec,APPROVED,Not Applicable,2024-07-03T20:11:48.892000Z,2024-07-03T20:37:19.275000Z,2024-07-04T16:19:37.840000Z,2024-07-03T20:37:19.892379Z,1531.0,NOCODE,573,23,Male,Black,United States,United States,United States,English,No,Full-Time
6685b091c7d2e84750290441,65412ca42e0e2fbb27b8a7b2,APPROVED,Not Applicable,2024-07-03T20:12:01.629000Z,2024-07-11T21:21:15.868000Z,2024-07-11T21:21:16.325000Z,2024-07-11T21:21:16.484768Z,695355.0,Manual Completion,1035,18,Male,Asian,United States,United States,United States,English,Yes,Other
6685b19e807db2a312520155,6676fab6295042ff191ead64,APPROVED,Not Applicable,2024-07-03T20:22:30.198000Z,2024-07-04T16:20:34.562000Z,2024-07-04T16:20:35.024000Z,2024-07-04T16:20:35.250790Z,71885.0,Manual Completion,128,27,Male,White,United States,United States,United States,English,Yes,Part-Time
6685b65bc1a1d31152aa091e,665fc69fe8d5562ac1294f30,APPROVED,Not Applicable,2024-07-03T20:36:48.060000Z,2024-07-05T12:55:24.700000Z,2024-07-05T12:55:25.254000Z,2024-07-05T12:55:25.404294Z,145117.0,Manual Completion,72,31,Male,White,United States,United States,United States,English,No,Full-Time
6685bae46c7d69f59299de00,6601a1251731342a7891c4f1,APPROVED,Not Applicable,2024-07-03T20:56:10.861000Z,2024-07-04T17:54:03.520000Z,2024-07-04T17:54:03.977000Z,2024-07-04T17:54:04.156927Z,75473.0,Manual Completion,500,33,Male,Black,Ghana,United States,United States,English,Yes,Full-Time
66860ad14c3959aba771e0b5,5fd0dc0d8dae67016ed65a54,APPROVED,Not Applicable,2024-07-04T02:37:08.741000Z,2024-07-04T03:38:14.091000Z,2024-07-11T20:06:58.269000Z,2024-07-04T03:39:07.852057Z,3666.0,C7366LWU,5886,33,Male,White,United States,United States,United States,English,No,Full-Time
66884b4161ce4ad8d84b3b0b,5d012930cfeb82001817c9c9,APPROVED,Not Applicable,2024-07-05T19:36:46.231000Z,2024-07-05T20:39:00.565000Z,2024-07-11T20:06:58.711000Z,2024-07-05T20:39:01.207397Z,3735.0,C7366LWU,7424,33,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
668878cc180118897f848102,6612f6953155cebe8a8b9e0d,APPROVED,Not Applicable,2024-07-05T22:51:09.690000Z,2024-07-05T23:40:46.709000Z,2024-07-11T20:06:58.974000Z,2024-07-05T23:41:25.416895Z,2978.0,C7366LWU,116,31,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66896997eac80b6cf2c44c96,6098a486fc0e4c5db3a08e71,APPROVED,Not Applicable,2024-07-06T15:58:29.266000Z,2024-07-06T16:58:35.327000Z,2024-07-11T20:06:59.583000Z,2024-07-06T16:58:36.212627Z,3607.0,C7366LWU,89,26,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
668c75dcfab6acc55a2abb71,66512c26608d3961fbf2f058,APPROVED,Not Applicable,2024-07-08T23:27:29.871000Z,2024-07-09T00:25:30.829000Z,2024-07-11T20:06:59.941000Z,2024-07-09T00:27:16.529877Z,3481.0,C7366LWU,144,35,Male,Black,United States,United States,United States,English,No,Full-Time
669a77b1388cb2ea21af0872,667838be776b27f8705b6c3c,APPROVED,Not Applicable,2024-07-19T14:36:57.585000Z,2024-07-19T15:31:21.250000Z,2024-07-19T15:31:21.694000Z,2024-07-19T15:31:21.821256Z,3264.0,Manual Completion,191,26,Female,White,United States,United States,United States,English,No,Full-Time
669a7d25d4a57296b3d66437,6670297f1e47e468c3605ef4,APPROVED,Not Applicable,2024-07-19T15:01:00.027000Z,2024-07-22T20:48:25.695000Z,2024-07-22T20:48:26.343000Z,2024-07-22T20:48:26.523257Z,280046.0,Manual Completion,92,35,Male,White,United States,United States,United States,English,No,Full-Time
669b448c896ecc945771fd3a,60c7fd00cce7a43663968b17,APPROVED,Not Applicable,2024-07-20T05:01:17.332000Z,2024-07-20T05:54:53.614000Z,2024-07-22T14:59:34.871000Z,2024-07-20T05:54:54.213276Z,3217.0,C7366LWU,728,21,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
669bdea8896ecc9457722270,6679bdceaa28479dfe378bb6,APPROVED,Not Applicable,2024-07-20T15:58:49.012000Z,2024-07-20T16:57:04.562000Z,2024-07-22T14:59:32.678000Z,2024-07-20T16:58:08.937931Z,3496.0,C7366LWU,115,28,Female,White,United States,United States,United States,English,No,Full-Time
669e896fef3c64f0cec328dc,6496f9fbc2928ee6956ef623,APPROVED,Not Applicable,2024-07-22T16:31:50.625000Z,2024-07-22T17:21:58.028000Z,2024-08-09T14:24:33.029000Z,2024-07-22T17:21:58.680868Z,3008.0,C7366LWU,1674,20,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
669e8ae3693847fdfb9d9294,5e49e45bc397b44533784587,APPROVED,Not Applicable,2024-07-22T16:38:00.229000Z,2024-07-22T17:23:33.296000Z,2024-08-09T14:24:33.550000Z,2024-07-22T17:23:34.101836Z,2734.0,C7366LWU,155,25,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
669ed8b4f1bf85324c1bc4bd,664d05ba68d4a45f6ba118a5,APPROVED,Not Applicable,2024-07-22T22:10:06.301000Z,2024-07-22T23:02:17.650000Z,2024-08-09T14:24:37.873000Z,2024-07-22T23:02:53.551552Z,3132.0,C7366LWU,112,20,Female,White,United States,United States,United States,English,Yes,Full-Time
669ee4be179d41ebdabc3c58,663ff3e539df6ec6f060f875,APPROVED,Not Applicable,2024-07-22T23:01:42.214000Z,2024-07-22T23:45:11.040000Z,2024-08-09T14:24:49.804000Z,2024-07-22T23:48:02.291226Z,2609.0,C7366LWU,310,26,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
669fff051be9b725be7ed3f5,63e55908254a436361a6787b,APPROVED,Not Applicable,2024-07-23T19:06:23.914000Z,2024-07-23T20:06:07.280000Z,2024-08-09T14:24:52.601000Z,2024-07-23T20:06:57.044647Z,3584.0,C7366LWU,2368,30,Female,White,United States,United States,United States,English,No,Full-Time
66b41c4dd3aee3fac9f5f1ad,661fee35973b5ff6fa3418ef,APPROVED,Not Applicable,2024-08-08T01:16:17.408000Z,2024-08-08T02:00:18.599000Z,2024-08-08T12:55:29.401000Z,2024-08-08T02:02:37.720947Z,2642.0,C7366LWU,293,29,Male,Asian,United States,United States,United States,Chinese,No,Full-Time
