participant,condition_recode,salience_mean,choice,stress_mean,stress_mean,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order,overallaffect,prop_socialchoice,social_left,social_decisionprice_mean,nonsocial_decisionprice_mean
613aad30bcfed65155a026ec,2,5.0,1.489795918367347,9.0,9.0,-7.5,,2.489795918367347,,,,,5.25,0.5,,0.02791666666666667,0.022400000000000003
61528277afcb4906d01e0442,1,3.0,1.5555555555555556,2.5,2.5,-5.5,,2.2888888888888888,,,,,5.25,0.7777777777777778,,0.036857142857142866,0.037
61528277afcb4906d01e0442,2,4.0,1.48,8.0,8.0,-5.5,,2.06,,,,,5.25,0.7291666666666666,,0.03142857142857143,0.02769230769230769
61741ba984f258d5c6a1303c,1,3.5,1.4583333333333333,5.0,5.0,-1.5,,2.2916666666666665,,,,,5.75,0.6458333333333334,,0.0235483870967742,0.025882352941176474
61741ba984f258d5c6a1303c,2,4.0,1.48,6.5,6.5,-1.5,,2.12,,,,,5.75,0.5625,,0.019629629629629632,0.024285714285714285
62865af5a1e349260f58cdf7,1,4.0,1.56,2.5,2.5,-2.5,,2.34,,,,,3.75,0.42,,0.02142857142857143,0.028620689655172418
62865af5a1e349260f58cdf7,2,4.0,1.46,5.0,5.0,-2.5,,1.94,,,,,3.75,0.48,,0.023333333333333334,0.026153846153846156
63d161e70272bba9f3f70980,1,2.5,1.4,5.0,5.0,0.0,,1.78,,,,,5.0,0.56,,0.025714285714285717,0.024545454545454547
63d161e70272bba9f3f70980,2,4.0,1.46,5.0,5.0,0.0,,1.08,,,,,5.0,0.46,,0.024782608695652183,0.019629629629629632
63d432e27555fb4b5785cfcd,1,1.0,1.14,8.0,8.0,0.5,,1.18,,,,,7.75,0.86,,0.0316279069767442,0.03142857142857143
63d432e27555fb4b5785cfcd,2,2.0,1.2244897959183674,7.5,7.5,0.5,,1.3265306122448979,,,,,7.75,0.7755102040816326,,0.0318421052631579,0.026363636363636363
64c0a2d8031339ab6ec5e54a,1,2.0,1.6326530612244898,8.0,8.0,-1.0,,3.938775510204082,,,,,8.5,0.3673469387755102,,0.03444444444444445,0.03096774193548388
64c0a2d8031339ab6ec5e54a,2,3.0,1.346938775510204,9.0,9.0,-1.0,,3.6530612244897958,,,,,8.5,0.6530612244897959,,0.0303125,0.027058823529411767
65412ca42e0e2fbb27b8a7b2,1,2.5,1.530612244897959,9.0,9.0,0.0,,2.020408163265306,,,,,9.0,0.46938775510204084,,0.022173913043478263,0.02307692307692308
